t,value
1540099427,93
t,value
1540099472,129
1540099475,129
1540099478,129
1540099481,129
1540099484,129
1540099487,129
1540099490,129
1540099493,129
1540099496,129
1540099499,129
1540099502,129
1540099505,132
1540099508,132
1540099511,132
1540099514,132
1540099517,132
1540099520,132
1540099523,132
1540099526,132
1540099529,132
t,value
1540099543,164
1540099546,164
1540099549,169
1540099552,169
1540099555,169
1540099558,169
1540099561,169
1540099564,169
1540099567,169
1540099570,169
1540099573,169
1540099576,169
1540099579,169
1540099582,169
1540099585,180
1540099588,180
1540099591,180
1540099594,180
1540099597,180
1540099600,180
1540099603,226
1540099606,226
1540099609,226
1540099612,239
1540099615,239
1540099618,245
1540099621,245
1540099624,251
1540099627,251
1540099630,251
1540099633,251
1540099636,251
1540099639,251
1540099642,251
1540099645,251
1540099648,251
1540099651,251
1540099654,251
1540099657,251
1540099660,251
1540099663,297
1540099666,297
1540099669,297
1540099672,297
1540099675,297
1540099678,297
1540099681,297
1540099684,297
1540099687,297
1540099690,297
1540099693,297
1540099696,297
1540099699,297
1540099702,297
1540099705,297
1540099708,297
1540099711,297
1540099714,297
1540099717,297
1540099720,297
1540099723,343
1540099726,343
1540099729,343
1540099732,343
1540099735,343
1540099738,343
1540099741,355
1540099744,355
1540099747,355
1540099750,355
1540099753,355
1540099756,355
1540099759,355
1540099762,355
1540099765,355
1540099768,355
1540099771,355
1540099774,355
1540099777,355
1540099780,355
1540099783,401
1540099786,401
1540099789,401
1540099792,401
1540099795,401
1540099798,401
1540099801,401
1540099804,401
1540099807,401
1540099810,401
1540099813,401
1540099816,401
1540099819,401
1540099822,401
1540099825,401
1540099828,401
1540099831,401
1540099834,401
1540099837,401
1540099840,401
1540099843,447
1540099846,447
1540099849,447
1540099852,447
1540099855,447
1540099858,447
1540099861,447
1540099864,447
1540099867,447
1540099870,447
1540099873,447
1540099876,447
1540099879,447
1540099882,447
1540099885,447
1540099888,447
1540099891,447
1540099894,447
1540099897,447
1540099900,447
1540099903,493
1540099906,493
1540099909,493
1540099912,493
1540099915,493
1540099918,493
1540099921,493
1540099924,493
1540099927,493
1540099930,493
1540099933,493
1540099936,493
1540099939,493
1540099942,493
t,value
1540099969,167
1540099972,167
1540099975,167
1540099978,167
1540099981,167
1540099984,167
1540099987,167
1540099990,167
1540099993,167
1540099996,167
1540099999,167
1540100002,167
1540100005,167
1540100008,167
1540100011,167
1540100014,167
1540100017,167
1540100020,167
1540100023,167
1540100026,167
1540100029,226
1540100032,226
1540100035,226
1540100038,226
1540100041,226
1540100044,226
1540100047,226
1540100050,226
1540100053,226
1540100056,226
1540100059,226
1540100062,226
1540100065,226
1540100068,226
1540100071,226
1540100074,226
1540100077,226
1540100080,226
1540100083,226
1540100086,226
1540100089,272
1540100092,272
1540100095,272
1540100098,272
1540100101,272
1540100104,272
1540100107,272
1540100110,272
1540100113,272
1540100116,272
1540100119,272
1540100122,272
1540100125,272
1540100128,272
1540100131,272
1540100134,272
1540100137,272
1540100140,272
1540100143,272
1540100146,272
1540100149,318
1540100152,318
1540100155,318
1540100158,318
1540100161,318
1540100164,318
1540100167,318
1540100170,318
1540100173,318
1540100176,318
1540100179,318
1540100182,318
1540100185,318
1540100188,318
1540100191,318
1540100194,318
1540100197,318
1540100200,318
1540100203,318
1540100206,318
1540100209,364
1540100212,364
1540100215,364
1540100218,364
1540100221,364
1540100224,364
1540100227,364
1540100230,364
1540100233,364
1540100236,364
1540100239,364
1540100242,364
1540100245,364
1540100248,364
1540100251,364
1540100254,364
1540100257,364
1540100260,364
1540100263,364
1540100266,364
1540100269,410
1540100272,410
1540100275,410
1540100278,410
1540100281,410
1540100284,410
1540100287,410
1540100290,410
1540100293,410
1540100296,410
1540100299,410
1540100302,410
1540100305,410
1540100308,410
1540100311,410
1540100314,410
1540100317,410
1540100320,410
1540100323,410
1540100326,410
1540100329,456
1540100332,456
1540100335,456
1540100338,456
1540100341,456
1540100344,456
1540100347,456
1540100350,456
1540100353,456
t,value
1540100368,167
1540100371,167
1540100374,167
1540100377,167
1540100380,167
1540100383,167
1540100386,167
1540100389,167
1540100392,167
1540100395,167
1540100398,167
1540100401,167
1540100404,167
1540100407,167
1540100410,167
1540100413,167
1540100416,167
1540100419,167
1540100422,167
1540100425,167
1540100428,213
1540100431,213
1540100434,213
1540100437,213
1540100440,213
1540100443,213
1540100446,213
1540100449,213
1540100452,227
1540100455,227
1540100458,227
1540100461,227
1540100464,227
1540100467,227
1540100470,227
1540100473,227
1540100476,227
1540100479,227
1540100482,227
1540100485,227
1540100488,273
1540100491,273
1540100494,273
1540100497,273
1540100500,273
1540100503,273
1540100506,273
1540100509,273
1540100512,273
1540100515,273
1540100518,273
1540100521,273
1540100524,273
1540100527,273
1540100530,273
1540100533,273
1540100536,273
1540100539,273
1540100542,273
1540100545,273
1540100548,319
1540100551,319
1540100554,319
1540100557,319
1540100560,319
1540100563,319
1540100566,319
1540100569,319
1540100572,319
1540100575,319
1540100578,319
1540100581,319
1540100584,319
1540100587,319
1540100590,319
1540100593,319
1540100596,319
1540100599,319
1540100602,319
1540100605,319
1540100608,365
1540100611,365
1540100614,365
1540100617,365
1540100620,365
1540100623,365
