t,value
1540099427,31
t,value
1540099472,85
1540099475,85
1540099478,85
1540099481,85
1540099484,85
1540099487,85
1540099490,85
1540099493,85
1540099496,85
1540099499,85
1540099502,85
1540099505,87
1540099508,87
1540099511,87
1540099514,87
1540099517,87
1540099520,87
1540099523,87
1540099526,87
1540099529,87
t,value
1540099543,87
1540099546,87
1540099549,87
1540099552,87
1540099555,87
1540099558,87
1540099561,87
1540099564,87
1540099567,87
1540099570,87
1540099573,87
1540099576,87
1540099579,87
1540099582,87
1540099585,89
1540099588,89
1540099591,89
1540099594,89
1540099597,89
1540099600,89
1540099603,89
1540099606,89
1540099609,89
1540099612,89
1540099615,89
1540099618,89
1540099621,89
1540099624,89
1540099627,89
1540099630,89
1540099633,89
1540099636,89
1540099639,89
1540099642,89
1540099645,89
1540099648,89
1540099651,89
1540099654,89
1540099657,89
1540099660,89
1540099663,89
1540099666,89
1540099669,89
1540099672,89
1540099675,89
1540099678,89
1540099681,89
1540099684,89
1540099687,89
1540099690,89
1540099693,89
1540099696,89
1540099699,89
1540099702,89
1540099705,89
1540099708,89
1540099711,89
1540099714,89
1540099717,89
1540099720,89
1540099723,89
1540099726,89
1540099729,89
1540099732,89
1540099735,89
1540099738,89
1540099741,89
1540099744,89
1540099747,89
1540099750,89
1540099753,89
1540099756,89
1540099759,89
1540099762,89
1540099765,89
1540099768,89
1540099771,89
1540099774,89
1540099777,89
1540099780,89
1540099783,89
1540099786,89
1540099789,89
1540099792,89
1540099795,89
1540099798,89
1540099801,89
1540099804,89
1540099807,89
1540099810,89
1540099813,89
1540099816,89
1540099819,89
1540099822,89
1540099825,89
1540099828,89
1540099831,89
1540099834,89
1540099837,89
1540099840,89
1540099843,89
1540099846,89
1540099849,89
1540099852,89
1540099855,89
1540099858,89
1540099861,89
1540099864,89
1540099867,89
1540099870,89
1540099873,89
1540099876,89
1540099879,89
1540099882,89
1540099885,89
1540099888,89
1540099891,89
1540099894,89
1540099897,89
1540099900,89
1540099903,89
1540099906,89
1540099909,89
1540099912,89
1540099915,89
1540099918,89
1540099921,89
1540099924,89
1540099927,89
1540099930,89
1540099933,89
1540099936,89
1540099939,89
1540099942,89
t,value
1540099969,89
1540099972,89
1540099975,89
1540099978,89
1540099981,89
1540099984,89
1540099987,89
1540099990,89
1540099993,89
1540099996,89
1540099999,89
1540100002,89
1540100005,89
1540100008,89
1540100011,89
1540100014,89
1540100017,89
1540100020,89
1540100023,89
1540100026,89
1540100029,89
1540100032,89
1540100035,89
1540100038,89
1540100041,89
1540100044,89
1540100047,89
1540100050,89
1540100053,89
1540100056,89
1540100059,89
1540100062,89
1540100065,89
1540100068,89
1540100071,89
1540100074,89
1540100077,89
1540100080,89
1540100083,89
1540100086,89
1540100089,89
1540100092,89
1540100095,89
1540100098,89
1540100101,89
1540100104,89
1540100107,89
1540100110,89
1540100113,89
1540100116,89
1540100119,89
1540100122,89
1540100125,89
1540100128,89
1540100131,89
1540100134,89
1540100137,89
1540100140,89
1540100143,89
1540100146,89
1540100149,89
1540100152,89
1540100155,89
1540100158,89
1540100161,89
1540100164,89
1540100167,89
1540100170,89
1540100173,89
1540100176,89
1540100179,89
1540100182,89
1540100185,89
1540100188,89
1540100191,89
1540100194,89
1540100197,89
1540100200,89
1540100203,89
1540100206,89
1540100209,89
1540100212,89
1540100215,89
1540100218,89
1540100221,89
1540100224,89
1540100227,89
1540100230,89
1540100233,89
1540100236,89
1540100239,89
1540100242,89
1540100245,89
1540100248,89
1540100251,89
1540100254,89
1540100257,89
1540100260,89
1540100263,89
1540100266,89
1540100269,89
1540100272,89
1540100275,89
1540100278,89
1540100281,89
1540100284,89
1540100287,89
1540100290,89
1540100293,89
1540100296,89
1540100299,89
1540100302,89
1540100305,89
1540100308,89
1540100311,89
1540100314,89
1540100317,89
1540100320,89
1540100323,89
1540100326,89
1540100329,89
1540100332,89
1540100335,89
1540100338,89
1540100341,89
1540100344,89
1540100347,89
1540100350,89
1540100353,89
t,value
1540100368,89
1540100371,89
1540100374,89
1540100377,89
1540100380,89
1540100383,89
1540100386,89
1540100389,89
1540100392,89
1540100395,89
1540100398,89
1540100401,89
1540100404,89
1540100407,89
1540100410,89
1540100413,89
1540100416,89
1540100419,89
1540100422,89
1540100425,89
1540100428,89
1540100431,89
1540100434,89
1540100437,89
1540100440,89
1540100443,89
1540100446,89
1540100449,89
1540100452,89
1540100455,89
1540100458,89
1540100461,89
1540100464,89
1540100467,89
1540100470,89
1540100473,89
1540100476,89
1540100479,89
1540100482,89
1540100485,89
1540100488,89
1540100491,89
1540100494,89
1540100497,89
1540100500,89
1540100503,89
1540100506,89
1540100509,89
1540100512,89
1540100515,89
1540100518,89
1540100521,89
1540100524,89
1540100527,89
1540100530,89
1540100533,89
1540100536,89
1540100539,89
1540100542,89
