t,value
1540099427,121
t,value
1540099472,205
1540099475,205
1540099478,205
1540099481,205
1540099484,205
1540099487,205
1540099490,205
1540099493,205
1540099496,205
1540099499,205
1540099502,205
1540099505,207
1540099508,207
1540099511,207
1540099514,207
1540099517,207
1540099520,207
1540099523,207
1540099526,207
1540099529,210
t,value
1540099543,242
1540099546,242
1540099549,244
1540099552,244
1540099555,244
1540099558,244
1540099561,244
1540099564,244
1540099567,244
1540099570,244
1540099573,244
1540099576,244
1540099579,244
1540099582,244
1540099585,255
1540099588,255
1540099591,255
1540099594,255
1540099597,255
1540099600,255
1540099603,301
1540099606,301
1540099609,301
1540099612,314
1540099615,314
1540099618,320
1540099621,320
1540099624,326
1540099627,326
1540099630,326
1540099633,326
1540099636,326
1540099639,326
1540099642,326
1540099645,326
1540099648,326
1540099651,326
1540099654,326
1540099657,326
1540099660,326
1540099663,372
1540099666,372
1540099669,372
1540099672,372
1540099675,372
1540099678,372
1540099681,372
1540099684,372
1540099687,372
1540099690,372
1540099693,372
1540099696,372
1540099699,372
1540099702,372
1540099705,372
1540099708,372
1540099711,372
1540099714,372
1540099717,372
1540099720,372
1540099723,418
1540099726,418
1540099729,418
1540099732,418
1540099735,418
1540099738,418
1540099741,431
1540099744,431
1540099747,431
1540099750,431
1540099753,431
1540099756,431
1540099759,431
1540099762,431
1540099765,431
1540099768,431
1540099771,431
1540099774,431
1540099777,431
1540099780,431
1540099783,477
1540099786,477
1540099789,477
1540099792,477
1540099795,477
1540099798,477
1540099801,477
1540099804,477
1540099807,477
1540099810,477
1540099813,477
1540099816,477
1540099819,477
1540099822,477
1540099825,477
1540099828,477
1540099831,477
1540099834,477
1540099837,477
1540099840,477
1540099843,523
1540099846,523
1540099849,523
1540099852,523
1540099855,523
1540099858,523
1540099861,523
1540099864,523
1540099867,523
1540099870,523
1540099873,523
1540099876,523
1540099879,523
1540099882,523
1540099885,523
1540099888,523
1540099891,523
1540099894,523
1540099897,523
1540099900,523
1540099903,569
1540099906,569
1540099909,569
1540099912,569
1540099915,569
1540099918,569
1540099921,569
1540099924,569
1540099927,569
1540099930,569
1540099933,569
1540099936,569
1540099939,569
1540099942,569
t,value
1540099969,247
1540099972,247
1540099975,247
1540099978,247
1540099981,247
1540099984,247
1540099987,247
1540099990,247
1540099993,247
1540099996,247
1540099999,247
1540100002,247
1540100005,247
1540100008,247
1540100011,247
1540100014,247
1540100017,247
1540100020,247
1540100023,247
1540100026,247
1540100029,302
1540100032,302
1540100035,302
1540100038,302
1540100041,302
1540100044,302
1540100047,302
1540100050,302
1540100053,302
1540100056,302
1540100059,302
1540100062,302
1540100065,302
1540100068,302
1540100071,302
1540100074,302
1540100077,302
1540100080,302
1540100083,302
1540100086,302
1540100089,348
1540100092,348
1540100095,348
1540100098,348
1540100101,348
1540100104,348
1540100107,348
1540100110,348
1540100113,348
1540100116,348
1540100119,348
1540100122,348
1540100125,348
1540100128,348
1540100131,348
1540100134,348
1540100137,348
1540100140,348
1540100143,348
1540100146,348
1540100149,394
1540100152,394
1540100155,394
1540100158,394
1540100161,394
1540100164,394
1540100167,394
1540100170,394
1540100173,394
1540100176,394
1540100179,394
1540100182,394
1540100185,394
1540100188,394
1540100191,394
1540100194,394
1540100197,394
1540100200,394
1540100203,394
1540100206,394
1540100209,440
1540100212,440
1540100215,440
1540100218,440
1540100221,440
1540100224,440
1540100227,440
1540100230,440
1540100233,440
1540100236,440
1540100239,440
1540100242,440
1540100245,440
1540100248,440
1540100251,440
1540100254,440
1540100257,440
1540100260,440
1540100263,440
1540100266,440
1540100269,486
1540100272,486
1540100275,486
1540100278,486
1540100281,486
1540100284,486
1540100287,486
1540100290,486
1540100293,486
1540100296,486
1540100299,486
1540100302,486
1540100305,486
1540100308,486
1540100311,486
1540100314,486
1540100317,486
1540100320,486
1540100323,486
1540100326,486
1540100329,532
1540100332,532
1540100335,532
1540100338,532
1540100341,532
1540100344,532
1540100347,532
1540100350,532
1540100353,532
t,value
1540100368,247
1540100371,247
1540100374,247
1540100377,247
1540100380,247
1540100383,247
1540100386,247
1540100389,247
1540100392,247
1540100395,247
1540100398,247
1540100401,247
1540100404,247
1540100407,247
1540100410,247
1540100413,247
1540100416,247
1540100419,247
1540100422,247
1540100425,247
1540100428,293
1540100431,293
1540100434,293
1540100437,293
1540100440,293
1540100443,293
1540100446,293
1540100449,293
1540100452,302
1540100455,302
1540100458,302
1540100461,302
1540100464,302
1540100467,302
1540100470,302
1540100473,302
1540100476,302
1540100479,302
1540100482,302
1540100485,302
1540100488,348
1540100491,348
1540100494,348
1540100497,348
1540100500,348
1540100503,348
1540100506,348
1540100509,348
1540100512,348
1540100515,348
1540100518,348
1540100521,348
1540100524,348
1540100527,348
1540100530,348
1540100533,348
1540100536,348
1540100539,348
1540100542,348
