t,value
1540099427,-1
t,value
1540099472,-1
1540099475,-1
1540099478,-1
1540099481,-1
1540099484,-1
1540099487,-1
1540099490,-1
1540099493,-1
1540099496,-1
1540099499,-1
1540099502,-1
1540099505,-1
1540099508,-1
1540099511,-1
1540099514,-1
1540099517,-1
1540099520,-1
1540099523,-1
1540099526,-1
1540099529,-1
t,value
1540099543,-1
1540099546,-1
1540099549,-1
1540099552,-1
1540099555,-1
1540099558,-1
1540099561,-1
1540099564,-1
1540099567,-1
1540099570,-1
1540099573,-1
1540099576,-1
1540099579,-1
1540099582,-1
1540099585,-1
1540099588,-1
1540099591,-1
1540099594,-1
1540099597,-1
1540099600,-1
1540099603,-1
1540099606,-1
1540099609,-1
1540099612,-1
1540099615,-1
1540099618,-1
1540099621,-1
1540099624,-1
1540099627,-1
1540099630,-1
1540099633,-1
1540099636,-1
1540099639,-1
1540099642,-1
1540099645,-1
1540099648,-1
1540099651,-1
1540099654,-1
1540099657,-1
1540099660,-1
1540099663,-1
1540099666,-1
1540099669,-1
1540099672,-1
1540099675,-1
1540099678,-1
1540099681,-1
1540099684,-1
1540099687,-1
1540099690,-1
1540099693,-1
1540099696,-1
1540099699,-1
1540099702,-1
1540099705,-1
1540099708,-1
1540099711,-1
1540099714,-1
1540099717,-1
1540099720,-1
1540099723,-1
1540099726,-1
1540099729,-1
1540099732,-1
1540099735,-1
1540099738,-1
1540099741,-1
1540099744,-1
1540099747,-1
1540099750,-1
1540099753,-1
1540099756,-1
1540099759,-1
1540099762,-1
1540099765,-1
1540099768,-1
1540099771,-1
1540099774,-1
1540099777,-1
1540099780,-1
1540099783,-1
1540099786,-1
1540099789,-1
1540099792,-1
1540099795,-1
1540099798,-1
1540099801,-1
1540099804,-1
1540099807,-1
1540099810,-1
1540099813,-1
1540099816,-1
1540099819,-1
1540099822,-1
1540099825,-1
1540099828,-1
1540099831,-1
1540099834,-1
1540099837,-1
1540099840,-1
1540099843,-1
1540099846,-1
1540099849,-1
1540099852,-1
1540099855,-1
1540099858,-1
