t,value
1540099427,2
t,value
1540099472,0
1540099475,0
1540099478,0
1540099481,0
1540099484,0
1540099487,0
1540099490,0
1540099493,0
1540099496,0
1540099499,0
1540099502,1
1540099505,0
1540099508,0
1540099511,0
1540099514,0
1540099517,0
1540099520,0
1540099523,0
1540099526,0
1540099529,0
t,value
1540099543,0
1540099546,1
1540099549,0
1540099552,0
1540099555,0
1540099558,0
1540099561,0
1540099564,0
1540099567,0
1540099570,0
1540099573,0
1540099576,0
1540099579,0
1540099582,0
1540099585,0
1540099588,0
1540099591,0
1540099594,0
1540099597,0
1540099600,0
1540099603,0
1540099606,0
1540099609,0
1540099612,0
1540099615,0
1540099618,0
1540099621,0
1540099624,0
1540099627,0
1540099630,0
1540099633,0
1540099636,0
1540099639,0
1540099642,0
1540099645,0
1540099648,0
1540099651,0
1540099654,0
1540099657,0
1540099660,0
1540099663,0
1540099666,0
1540099669,0
1540099672,0
1540099675,0
1540099678,0
1540099681,0
1540099684,0
1540099687,0
1540099690,0
1540099693,0
1540099696,0
1540099699,0
1540099702,0
1540099705,0
1540099708,0
1540099711,0
1540099714,0
1540099717,0
1540099720,0
1540099723,0
1540099726,0
1540099729,0
1540099732,0
1540099735,0
1540099738,0
1540099741,0
1540099744,0
1540099747,0
1540099750,0
1540099753,0
1540099756,0
1540099759,0
1540099762,0
1540099765,0
1540099768,0
1540099771,0
1540099774,0
1540099777,0
1540099780,0
1540099783,0
1540099786,0
1540099789,0
1540099792,0
1540099795,0
1540099798,0
1540099801,0
1540099804,0
1540099807,0
1540099810,0
1540099813,0
1540099816,0
1540099819,0
1540099822,0
1540099825,0
1540099828,0
1540099831,0
1540099834,0
1540099837,0
1540099840,0
1540099843,0
1540099846,0
1540099849,0
1540099852,0
1540099855,0
1540099858,0
1540099861,0
1540099864,0
1540099867,0
1540099870,0
1540099873,0
1540099876,0
1540099879,0
1540099882,0
1540099885,0
1540099888,0
1540099891,0
1540099894,0
1540099897,0
1540099900,0
1540099903,0
1540099906,0
1540099909,0
1540099912,0
1540099915,0
1540099918,0
1540099921,0
1540099924,0
1540099927,0
1540099930,0
1540099933,0
1540099936,0
1540099939,0
1540099942,0
t,value
1540099969,0
1540099972,0
1540099975,0
1540099978,0
1540099981,0
1540099984,0
1540099987,0
1540099990,0
1540099993,0
1540099996,0
1540099999,0
1540100002,0
1540100005,0
1540100008,0
1540100011,0
1540100014,0
1540100017,0
1540100020,0
1540100023,0
1540100026,0
1540100029,0
1540100032,0
1540100035,0
1540100038,0
1540100041,0
1540100044,0
1540100047,0
1540100050,0
1540100053,0
1540100056,0
1540100059,0
1540100062,0
1540100065,0
1540100068,0
1540100071,0
1540100074,0
1540100077,0
1540100080,0
1540100083,0
1540100086,0
1540100089,0
1540100092,0
1540100095,0
1540100098,0
1540100101,0
1540100104,0
1540100107,0
1540100110,0
1540100113,0
1540100116,0
1540100119,0
1540100122,0
1540100125,0
1540100128,0
1540100131,0
1540100134,0
1540100137,0
1540100140,0
1540100143,0
1540100146,0
1540100149,0
1540100152,0
1540100155,0
1540100158,0
1540100161,0
1540100164,0
1540100167,0
1540100170,0
1540100173,0
1540100176,0
1540100179,0
1540100182,0
1540100185,0
1540100188,0
1540100191,0
1540100194,0
1540100197,0
1540100200,0
1540100203,0
1540100206,0
1540100209,0
1540100212,0
1540100215,0
1540100218,0
1540100221,0
1540100224,0
1540100227,0
1540100230,0
1540100233,0
1540100236,0
1540100239,0
1540100242,0
1540100245,0
1540100248,0
1540100251,0
1540100254,0
1540100257,0
1540100260,0
1540100263,0
1540100266,0
1540100269,0
1540100272,0
1540100275,0
1540100278,0
1540100281,0
1540100284,0
1540100287,0
1540100290,0
1540100293,0
1540100296,0
1540100299,0
1540100302,0
1540100305,0
1540100308,0
1540100311,0
1540100314,0
1540100317,0
1540100320,0
1540100323,0
1540100326,0
1540100329,0
1540100332,0
1540100335,0
1540100338,0
1540100341,0
1540100344,0
1540100347,0
1540100350,0
1540100353,0
t,value
1540100368,0
1540100371,0
1540100374,0
1540100377,0
1540100380,0
1540100383,0
1540100386,0
1540100389,0
1540100392,0
1540100395,0
1540100398,0
1540100401,0
1540100404,0
1540100407,0
1540100410,0
1540100413,0
1540100416,0
1540100419,0
1540100422,0
1540100425,0
1540100428,0
1540100431,0
1540100434,0
1540100437,0
1540100440,0
1540100443,0
1540100446,0
1540100449,1
1540100452,0
1540100455,0
1540100458,0
1540100461,0
1540100464,0
1540100467,0
1540100470,0
1540100473,0
1540100476,0
1540100479,0
1540100482,0
1540100485,0
1540100488,0
1540100491,0
1540100494,0
1540100497,0
1540100500,0
1540100503,0
1540100506,0
1540100509,0
1540100512,0
1540100515,0
1540100518,0
1540100521,0
1540100524,0
1540100527,0
1540100530,0
1540100533,0
1540100536,0
1540100539,0
1540100542,0
1540100545,0
1540100548,0
1540100551,0
1540100554,0
1540100557,0
1540100560,0
1540100563,0
1540100566,0
1540100569,0
1540100572,0
1540100575,0
1540100578,0
1540100581,0
1540100584,0
1540100587,0
1540100590,0
1540100593,0
1540100596,0
1540100599,0
1540100602,0
1540100605,0
1540100608,0
1540100611,0
1540100614,0
1540100617,0
1540100620,0
1540100623,0
