t,value
1540099427,0
t,value
1540099472,0
1540099475,0
1540099478,0
1540099481,0
1540099484,0
1540099487,0
1540099490,0
1540099493,0
1540099496,0
1540099499,0
1540099502,0
1540099505,1
1540099508,1
1540099511,1
1540099514,1
1540099517,1
1540099520,1
1540099523,1
1540099526,1
1540099529,2
t,value
1540099543,0
1540099546,0
1540099549,1
1540099552,1
1540099555,1
1540099558,1
1540099561,1
1540099564,1
1540099567,1
1540099570,1
1540099573,1
1540099576,1
1540099579,1
1540099582,1
1540099585,2
1540099588,2
1540099591,2
1540099594,2
1540099597,2
1540099600,2
1540099603,2
1540099606,2
1540099609,2
1540099612,3
1540099615,3
1540099618,4
1540099621,4
1540099624,5
1540099627,5
1540099630,5
1540099633,5
1540099636,5
1540099639,5
1540099642,5
1540099645,5
1540099648,5
1540099651,5
1540099654,5
1540099657,5
1540099660,5
1540099663,5
1540099666,5
1540099669,5
1540099672,5
1540099675,5
1540099678,5
1540099681,5
1540099684,5
1540099687,5
1540099690,5
1540099693,5
1540099696,5
1540099699,5
1540099702,5
1540099705,5
1540099708,5
1540099711,5
1540099714,5
1540099717,5
1540099720,5
1540099723,5
1540099726,5
1540099729,5
1540099732,5
1540099735,5
1540099738,5
1540099741,6
1540099744,6
1540099747,6
1540099750,6
1540099753,6
1540099756,6
1540099759,6
1540099762,6
1540099765,6
1540099768,6
1540099771,6
1540099774,6
1540099777,6
1540099780,6
1540099783,6
1540099786,6
1540099789,6
1540099792,6
1540099795,6
1540099798,6
1540099801,6
1540099804,6
1540099807,6
1540099810,6
1540099813,6
1540099816,6
1540099819,6
1540099822,6
1540099825,6
1540099828,6
1540099831,6
1540099834,6
1540099837,6
1540099840,6
1540099843,6
1540099846,6
1540099849,6
1540099852,6
1540099855,6
1540099858,6
1540099861,6
1540099864,6
1540099867,6
1540099870,6
1540099873,6
1540099876,6
1540099879,6
1540099882,6
1540099885,6
1540099888,6
1540099891,6
1540099894,6
1540099897,6
1540099900,6
1540099903,6
1540099906,6
1540099909,6
1540099912,6
1540099915,6
1540099918,6
1540099921,6
1540099924,6
1540099927,6
1540099930,6
1540099933,6
1540099936,6
1540099939,6
1540099942,6
t,value
1540099969,0
1540099972,0
1540099975,0
1540099978,0
1540099981,0
1540099984,0
1540099987,0
1540099990,0
1540099993,0
1540099996,0
1540099999,0
1540100002,0
1540100005,0
1540100008,0
1540100011,0
1540100014,0
1540100017,0
1540100020,0
1540100023,0
1540100026,0
1540100029,1
1540100032,1
1540100035,1
1540100038,1
1540100041,1
1540100044,1
1540100047,1
1540100050,1
1540100053,1
1540100056,1
1540100059,1
1540100062,1
1540100065,1
1540100068,1
1540100071,1
1540100074,1
1540100077,1
1540100080,1
1540100083,1
1540100086,1
1540100089,1
1540100092,1
1540100095,1
1540100098,1
1540100101,1
1540100104,1
1540100107,1
1540100110,1
1540100113,1
1540100116,1
1540100119,1
1540100122,1
1540100125,1
1540100128,1
1540100131,1
1540100134,1
1540100137,1
1540100140,1
1540100143,1
1540100146,1
1540100149,1
1540100152,1
1540100155,1
1540100158,1
1540100161,1
1540100164,1
1540100167,1
1540100170,1
1540100173,1
1540100176,1
1540100179,1
1540100182,1
1540100185,1
1540100188,1
1540100191,1
1540100194,1
1540100197,1
1540100200,1
1540100203,1
1540100206,1
1540100209,1
1540100212,1
1540100215,1
1540100218,1
1540100221,1
1540100224,1
1540100227,1
1540100230,1
1540100233,1
1540100236,1
1540100239,1
1540100242,1
1540100245,1
1540100248,1
1540100251,1
1540100254,1
1540100257,1
1540100260,1
1540100263,1
1540100266,1
1540100269,1
1540100272,1
1540100275,1
1540100278,1
1540100281,1
1540100284,1
1540100287,1
1540100290,1
1540100293,1
1540100296,1
1540100299,1
1540100302,1
1540100305,1
1540100308,1
1540100311,1
1540100314,1
1540100317,1
1540100320,1
1540100323,1
1540100326,1
1540100329,1
1540100332,1
1540100335,1
1540100338,1
1540100341,1
1540100344,1
1540100347,1
1540100350,1
1540100353,1
t,value
1540100368,0
1540100371,0
1540100374,0
1540100377,0
1540100380,0
1540100383,0
1540100386,0
1540100389,0
1540100392,0
1540100395,0
1540100398,0
1540100401,0
1540100404,0
1540100407,0
1540100410,0
1540100413,0
1540100416,0
1540100419,0
1540100422,0
1540100425,0
1540100428,0
1540100431,0
1540100434,0
1540100437,0
1540100440,0
1540100443,0
1540100446,0
1540100449,0
1540100452,1
1540100455,1
1540100458,1
1540100461,1
1540100464,1
1540100467,1
1540100470,1
1540100473,1
1540100476,1
1540100479,1
1540100482,1
1540100485,1
1540100488,1
1540100491,1
1540100494,1
1540100497,1
1540100500,1
1540100503,1
1540100506,1
1540100509,1
1540100512,1
1540100515,1
1540100518,1
1540100521,1
1540100524,1
1540100527,1
1540100530,1
1540100533,1
1540100536,1
1540100539,1
1540100542,1
1540100545,1
1540100548,1
1540100551,1
1540100554,1
1540100557,1
1540100560,1
1540100563,1
1540100566,1
1540100569,1
1540100572,1
1540100575,1
1540100578,1
1540100581,1
1540100584,1
1540100587,1
1540100590,1
1540100593,1
1540100596,1
1540100599,1
1540100602,1
1540100605,1
1540100608,1
1540100611,1
1540100614,1
1540100617,1
1540100620,1
1540100623,1
