t,value
1540099427,8
t,value
1540099472,5
1540099475,5
1540099478,5
1540099481,5
1540099484,5
1540099487,5
1540099490,5
1540099493,5
1540099496,5
1540099499,5
1540099502,6
1540099505,7
1540099508,7
1540099511,7
1540099514,7
1540099517,7
1540099520,7
1540099523,7
1540099526,7
1540099529,7
t,value
1540099543,6
1540099546,7
1540099549,8
1540099552,8
1540099555,8
1540099558,8
1540099561,8
1540099564,8
1540099567,8
1540099570,8
1540099573,8
1540099576,8
1540099579,8
1540099582,8
1540099585,8
1540099588,8
1540099591,8
1540099594,8
1540099597,8
1540099600,8
1540099603,8
1540099606,8
1540099609,8
1540099612,8
1540099615,8
1540099618,8
1540099621,8
1540099624,8
1540099627,8
1540099630,8
1540099633,8
1540099636,8
1540099639,8
1540099642,8
1540099645,8
1540099648,8
1540099651,8
1540099654,8
1540099657,8
1540099660,8
1540099663,8
1540099666,8
1540099669,8
1540099672,8
1540099675,8
1540099678,8
1540099681,8
1540099684,8
1540099687,8
1540099690,8
1540099693,8
1540099696,8
1540099699,8
1540099702,8
1540099705,8
1540099708,8
1540099711,8
1540099714,8
1540099717,8
1540099720,8
1540099723,8
1540099726,8
1540099729,8
1540099732,8
1540099735,8
1540099738,8
1540099741,8
1540099744,8
1540099747,8
1540099750,8
1540099753,8
1540099756,8
1540099759,8
1540099762,8
1540099765,8
1540099768,8
1540099771,8
1540099774,8
1540099777,8
1540099780,8
1540099783,8
1540099786,8
1540099789,8
1540099792,8
1540099795,8
1540099798,8
1540099801,8
1540099804,8
1540099807,8
1540099810,8
1540099813,8
1540099816,8
1540099819,8
1540099822,8
1540099825,8
1540099828,8
1540099831,8
1540099834,8
1540099837,8
1540099840,8
1540099843,8
1540099846,8
1540099849,8
1540099852,8
1540099855,8
1540099858,8
1540099861,8
1540099864,8
1540099867,8
1540099870,8
1540099873,8
1540099876,8
1540099879,8
1540099882,8
1540099885,8
1540099888,8
1540099891,8
1540099894,8
1540099897,8
1540099900,8
1540099903,8
1540099906,8
1540099909,8
1540099912,8
1540099915,8
1540099918,8
1540099921,8
1540099924,8
1540099927,8
1540099930,8
1540099933,8
1540099936,8
1540099939,8
1540099942,8
t,value
1540099969,6
1540099972,6
1540099975,6
1540099978,6
1540099981,6
1540099984,6
1540099987,6
1540099990,6
1540099993,6
1540099996,6
1540099999,6
1540100002,6
1540100005,6
1540100008,6
1540100011,6
1540100014,6
1540100017,6
1540100020,6
1540100023,6
1540100026,6
1540100029,8
1540100032,8
1540100035,8
1540100038,8
1540100041,8
1540100044,8
1540100047,8
1540100050,8
1540100053,8
1540100056,8
1540100059,8
1540100062,8
1540100065,8
1540100068,8
1540100071,8
1540100074,8
1540100077,8
1540100080,8
1540100083,8
1540100086,8
1540100089,8
1540100092,8
1540100095,8
1540100098,8
1540100101,8
1540100104,8
1540100107,8
1540100110,8
1540100113,8
1540100116,8
1540100119,8
1540100122,8
1540100125,8
1540100128,8
1540100131,8
1540100134,8
1540100137,8
1540100140,8
1540100143,8
1540100146,8
1540100149,8
1540100152,8
1540100155,8
1540100158,8
1540100161,8
1540100164,8
1540100167,8
1540100170,8
1540100173,8
1540100176,8
1540100179,8
1540100182,8
1540100185,8
1540100188,8
1540100191,8
1540100194,8
1540100197,8
1540100200,8
1540100203,8
1540100206,8
1540100209,8
1540100212,8
1540100215,8
1540100218,8
1540100221,8
1540100224,8
1540100227,8
1540100230,8
1540100233,8
1540100236,8
1540100239,8
1540100242,8
1540100245,8
1540100248,8
1540100251,8
1540100254,8
1540100257,8
1540100260,8
1540100263,8
1540100266,8
1540100269,8
1540100272,8
1540100275,8
1540100278,8
1540100281,8
1540100284,8
1540100287,8
1540100290,8
1540100293,8
1540100296,8
1540100299,8
1540100302,8
1540100305,8
1540100308,8
1540100311,8
1540100314,8
1540100317,8
1540100320,8
1540100323,8
1540100326,8
1540100329,8
1540100332,8
1540100335,8
1540100338,8
1540100341,8
1540100344,8
1540100347,8
1540100350,8
1540100353,8
t,value
1540100368,7
1540100371,7
1540100374,7
1540100377,7
1540100380,7
1540100383,7
1540100386,7
1540100389,7
1540100392,7
1540100395,7
1540100398,7
1540100401,7
1540100404,7
1540100407,7
1540100410,7
1540100413,7
1540100416,7
1540100419,7
1540100422,7
1540100425,7
1540100428,7
1540100431,7
1540100434,7
1540100437,7
1540100440,7
1540100443,7
1540100446,7
1540100449,9
1540100452,9
1540100455,9
1540100458,9
1540100461,9
1540100464,9
1540100467,9
1540100470,9
1540100473,9
1540100476,9
1540100479,9
1540100482,9
1540100485,9
1540100488,9
1540100491,9
1540100494,9
1540100497,9
1540100500,9
1540100503,9
1540100506,9
1540100509,9
1540100512,9
1540100515,9
1540100518,9
1540100521,9
1540100524,9
1540100527,9
1540100530,9
1540100533,9
1540100536,9
1540100539,9
1540100542,9
1540100545,9
1540100548,9
1540100551,9
1540100554,9
1540100557,9
1540100560,9
1540100563,9
1540100566,9
1540100569,9
1540100572,9
1540100575,9
1540100578,9
1540100581,9
1540100584,9
1540100587,9
1540100590,9
1540100593,9
1540100596,9
1540100599,9
1540100602,9
1540100605,9
1540100608,9
1540100611,9
1540100614,9
1540100617,9
1540100620,9
1540100623,9
