t,value
1540099427,42
t,value
1540099472,22
1540099475,22
1540099478,22
1540099481,22
1540099484,22
1540099487,22
1540099490,22
1540099493,22
1540099496,22
1540099499,22
1540099502,32
1540099505,46
1540099508,46
1540099511,46
1540099514,46
1540099517,46
1540099520,46
1540099523,46
1540099526,46
1540099529,46
t,value
1540099543,32
1540099546,35
1540099549,41
1540099552,41
1540099555,41
1540099558,41
1540099561,41
1540099564,41
1540099567,41
1540099570,41
1540099573,41
1540099576,41
1540099579,41
1540099582,41
1540099585,41
1540099588,41
1540099591,41
1540099594,41
1540099597,41
1540099600,41
1540099603,41
1540099606,41
1540099609,41
1540099612,41
1540099615,41
1540099618,41
1540099621,41
1540099624,41
1540099627,41
1540099630,41
1540099633,41
1540099636,41
1540099639,41
1540099642,41
1540099645,41
1540099648,41
1540099651,41
1540099654,41
1540099657,41
1540099660,41
1540099663,41
1540099666,41
1540099669,41
1540099672,41
1540099675,41
1540099678,41
1540099681,41
1540099684,41
1540099687,41
1540099690,41
1540099693,41
1540099696,41
1540099699,41
1540099702,41
1540099705,41
1540099708,41
1540099711,41
1540099714,41
1540099717,41
1540099720,41
1540099723,41
1540099726,41
1540099729,41
1540099732,41
1540099735,41
1540099738,41
1540099741,41
1540099744,41
1540099747,41
1540099750,41
1540099753,41
1540099756,41
1540099759,41
1540099762,41
1540099765,41
1540099768,41
1540099771,41
1540099774,41
1540099777,41
1540099780,41
1540099783,41
1540099786,41
1540099789,41
1540099792,41
1540099795,41
1540099798,41
1540099801,41
1540099804,41
1540099807,41
1540099810,41
1540099813,41
1540099816,41
1540099819,41
1540099822,41
1540099825,41
1540099828,41
1540099831,41
1540099834,41
1540099837,41
1540099840,41
1540099843,41
1540099846,41
1540099849,41
1540099852,41
1540099855,41
1540099858,41
1540099861,41
1540099864,41
1540099867,41
1540099870,41
1540099873,41
1540099876,41
1540099879,41
1540099882,41
1540099885,41
1540099888,41
1540099891,41
1540099894,41
1540099897,41
1540099900,41
1540099903,41
1540099906,41
1540099909,41
1540099912,41
1540099915,41
1540099918,41
1540099921,41
1540099924,41
1540099927,41
1540099930,41
1540099933,41
1540099936,41
1540099939,41
1540099942,41
t,value
1540099969,29
1540099972,29
1540099975,29
1540099978,29
1540099981,29
1540099984,29
1540099987,29
1540099990,29
1540099993,29
1540099996,29
1540099999,29
1540100002,29
1540100005,29
1540100008,29
1540100011,29
1540100014,29
1540100017,29
1540100020,29
1540100023,29
1540100026,29
1540100029,44
1540100032,44
1540100035,44
1540100038,44
1540100041,44
1540100044,44
1540100047,44
1540100050,44
1540100053,44
1540100056,44
1540100059,44
1540100062,44
1540100065,44
1540100068,44
1540100071,44
1540100074,44
1540100077,44
1540100080,44
1540100083,44
1540100086,44
1540100089,44
1540100092,44
1540100095,44
1540100098,44
1540100101,44
1540100104,44
1540100107,44
1540100110,44
1540100113,44
1540100116,44
1540100119,44
1540100122,44
1540100125,44
1540100128,44
1540100131,44
1540100134,44
1540100137,44
1540100140,44
1540100143,44
1540100146,44
1540100149,44
1540100152,44
1540100155,44
1540100158,44
1540100161,44
1540100164,44
1540100167,44
1540100170,44
1540100173,44
1540100176,44
1540100179,44
1540100182,44
1540100185,44
1540100188,44
1540100191,44
1540100194,44
1540100197,44
1540100200,44
1540100203,44
1540100206,44
1540100209,44
1540100212,44
1540100215,44
1540100218,44
1540100221,44
1540100224,44
1540100227,44
1540100230,44
1540100233,44
1540100236,44
1540100239,44
1540100242,44
1540100245,44
1540100248,44
1540100251,44
1540100254,44
1540100257,44
1540100260,44
1540100263,44
1540100266,44
1540100269,44
1540100272,44
1540100275,44
1540100278,44
1540100281,44
1540100284,44
1540100287,44
1540100290,44
1540100293,44
1540100296,44
1540100299,44
1540100302,44
1540100305,44
1540100308,44
1540100311,44
1540100314,44
1540100317,44
1540100320,44
1540100323,44
1540100326,44
1540100329,44
1540100332,44
1540100335,44
1540100338,44
1540100341,44
1540100344,44
1540100347,44
1540100350,44
1540100353,44
t,value
1540100368,36
1540100371,36
1540100374,36
1540100377,36
1540100380,36
1540100383,36
1540100386,36
1540100389,36
1540100392,36
1540100395,36
1540100398,36
1540100401,36
1540100404,36
1540100407,36
1540100410,36
1540100413,36
1540100416,36
1540100419,36
1540100422,36
1540100425,36
1540100428,36
1540100431,36
1540100434,36
1540100437,36
1540100440,36
1540100443,36
1540100446,36
1540100449,49
1540100452,49
1540100455,49
1540100458,49
1540100461,49
1540100464,49
1540100467,49
1540100470,49
1540100473,49
1540100476,49
1540100479,49
1540100482,49
1540100485,49
1540100488,49
1540100491,49
1540100494,49
1540100497,49
1540100500,49
1540100503,49
1540100506,49
1540100509,49
1540100512,49
1540100515,49
1540100518,49
1540100521,49
1540100524,49
1540100527,49
1540100530,49
1540100533,49
1540100536,49
1540100539,49
1540100542,49
1540100545,49
