t,value
1540099427,198427
t,value
1540099472,212992
1540099475,212992
1540099478,212992
1540099481,212992
1540099484,212992
1540099487,212992
1540099490,212992
1540099493,212992
1540099496,212992
1540099499,212992
1540099502,212992
1540099505,212992
1540099508,212992
1540099511,212992
1540099514,212992
1540099517,212992
1540099520,212992
1540099523,212992
1540099526,212992
1540099529,212992
t,value
1540099543,212992
1540099546,212992
1540099549,212992
1540099552,212992
1540099555,212992
1540099558,212992
1540099561,212992
1540099564,212992
1540099567,212992
1540099570,212992
1540099573,212992
1540099576,212992
1540099579,212992
1540099582,212992
1540099585,212992
1540099588,212992
1540099591,212992
1540099594,212992
1540099597,212992
1540099600,212992
1540099603,212992
1540099606,212992
1540099609,212992
1540099612,212992
1540099615,212992
1540099618,212992
1540099621,212992
1540099624,212992
1540099627,212992
1540099630,212992
1540099633,212992
1540099636,212992
1540099639,212992
1540099642,212992
1540099645,212992
1540099648,212992
1540099651,212992
1540099654,212992
1540099657,212992
1540099660,212992
1540099663,212992
1540099666,212992
1540099669,212992
1540099672,212992
1540099675,212992
1540099678,212992
1540099681,212992
1540099684,212992
1540099687,212992
1540099690,212992
1540099693,212992
1540099696,212992
1540099699,212992
1540099702,212992
1540099705,212992
1540099708,212992
1540099711,212992
1540099714,212992
1540099717,212992
1540099720,212992
1540099723,212992
1540099726,212992
1540099729,212992
1540099732,212992
1540099735,212992
1540099738,212992
1540099741,212992
1540099744,212992
1540099747,212992
1540099750,212992
1540099753,212992
1540099756,212992
1540099759,212992
1540099762,212992
1540099765,212992
1540099768,212992
1540099771,212992
1540099774,212992
1540099777,212992
1540099780,212992
1540099783,212992
1540099786,212992
1540099789,212992
1540099792,212992
1540099795,212992
1540099798,212992
1540099801,212992
1540099804,212992
1540099807,212992
1540099810,212992
1540099813,212992
1540099816,212992
1540099819,212992
1540099822,212992
1540099825,212992
1540099828,212992
1540099831,212992
1540099834,212992
1540099837,212992
1540099840,212992
1540099843,212992
1540099846,212992
1540099849,212992
1540099852,212992
1540099855,212992
1540099858,212992
1540099861,212992
1540099864,212992
1540099867,212992
1540099870,212992
1540099873,212992
1540099876,212992
1540099879,212992
1540099882,212992
1540099885,212992
1540099888,212992
1540099891,212992
1540099894,212992
1540099897,212992
1540099900,212992
1540099903,212992
1540099906,212992
1540099909,212992
1540099912,212992
1540099915,212992
1540099918,212992
1540099921,212992
1540099924,212992
1540099927,212992
1540099930,212992
1540099933,212992
1540099936,212992
1540099939,212992
1540099942,212992
t,value
1540099969,212992
1540099972,212992
1540099975,212992
1540099978,212992
1540099981,212992
1540099984,212992
1540099987,212992
1540099990,212992
1540099993,212992
1540099996,212992
1540099999,212992
1540100002,212992
1540100005,212992
1540100008,212992
1540100011,212992
1540100014,212992
1540100017,212992
1540100020,212992
1540100023,212992
1540100026,212992
1540100029,212992
1540100032,212992
1540100035,212992
1540100038,212992
1540100041,212992
1540100044,212992
1540100047,212992
1540100050,212992
1540100053,212992
1540100056,212992
1540100059,212992
1540100062,212992
1540100065,212992
1540100068,212992
1540100071,212992
1540100074,212992
1540100077,212992
1540100080,212992
1540100083,212992
1540100086,212992
1540100089,212992
1540100092,212992
1540100095,212992
1540100098,212992
1540100101,212992
1540100104,212992
1540100107,212992
1540100110,212992
1540100113,212992
1540100116,212992
1540100119,212992
1540100122,212992
1540100125,212992
1540100128,212992
1540100131,212992
1540100134,212992
1540100137,212992
1540100140,212992
1540100143,212992
1540100146,212992
1540100149,212992
1540100152,212992
1540100155,212992
1540100158,212992
1540100161,212992
1540100164,212992
1540100167,212992
1540100170,212992
1540100173,212992
1540100176,212992
1540100179,212992
1540100182,212992
1540100185,212992
1540100188,212992
1540100191,212992
1540100194,212992
1540100197,212992
1540100200,212992
1540100203,212992
