t,value
1540099427,4
t,value
1540099472,4
1540099475,4
1540099478,4
1540099481,4
1540099484,4
1540099487,4
1540099490,4
1540099493,4
1540099496,4
1540099499,4
1540099502,4
1540099505,4
1540099508,4
1540099511,4
1540099514,4
1540099517,4
1540099520,4
1540099523,4
1540099526,4
1540099529,4
t,value
1540099543,4
1540099546,4
1540099549,4
1540099552,4
1540099555,4
1540099558,4
1540099561,4
1540099564,4
1540099567,4
1540099570,4
1540099573,4
1540099576,4
1540099579,4
1540099582,4
1540099585,4
1540099588,4
1540099591,4
1540099594,4
1540099597,4
1540099600,4
1540099603,4
1540099606,4
1540099609,4
1540099612,4
1540099615,4
1540099618,4
1540099621,4
1540099624,4
1540099627,4
1540099630,4
1540099633,4
1540099636,4
1540099639,4
1540099642,4
1540099645,4
1540099648,4
1540099651,4
1540099654,4
1540099657,4
1540099660,4
1540099663,4
1540099666,4
1540099669,4
1540099672,4
1540099675,4
1540099678,4
1540099681,4
1540099684,4
1540099687,4
1540099690,4
1540099693,4
1540099696,4
1540099699,4
1540099702,4
1540099705,4
1540099708,4
1540099711,4
1540099714,4
1540099717,4
1540099720,4
1540099723,4
1540099726,4
1540099729,4
1540099732,4
1540099735,4
1540099738,4
1540099741,4
1540099744,4
1540099747,4
1540099750,4
1540099753,4
1540099756,4
1540099759,4
1540099762,4
1540099765,4
1540099768,4
1540099771,4
1540099774,4
1540099777,4
1540099780,4
1540099783,4
1540099786,4
1540099789,4
1540099792,4
1540099795,4
1540099798,4
1540099801,4
1540099804,4
1540099807,4
1540099810,4
1540099813,4
1540099816,4
1540099819,4
1540099822,4
1540099825,4
1540099828,4
1540099831,4
1540099834,4
1540099837,4
1540099840,4
1540099843,4
1540099846,4
1540099849,4
1540099852,4
1540099855,4
1540099858,4
1540099861,4
1540099864,4
1540099867,4
1540099870,4
1540099873,4
1540099876,4
1540099879,4
1540099882,4
1540099885,4
1540099888,4
1540099891,4
1540099894,4
1540099897,4
1540099900,4
1540099903,4
1540099906,4
1540099909,4
1540099912,4
1540099915,4
1540099918,4
1540099921,4
1540099924,4
1540099927,4
1540099930,4
1540099933,4
1540099936,4
1540099939,4
1540099942,4
t,value
1540099969,4
1540099972,4
1540099975,4
1540099978,4
1540099981,4
1540099984,4
1540099987,4
1540099990,4
1540099993,4
1540099996,4
1540099999,4
1540100002,4
1540100005,4
1540100008,4
1540100011,4
1540100014,4
1540100017,4
1540100020,4
1540100023,4
1540100026,4
1540100029,4
1540100032,4
1540100035,4
1540100038,4
1540100041,4
1540100044,4
1540100047,4
1540100050,4
1540100053,4
1540100056,4
1540100059,4
1540100062,4
1540100065,4
1540100068,4
1540100071,4
1540100074,4
1540100077,4
1540100080,4
1540100083,4
1540100086,4
1540100089,4
1540100092,4
1540100095,4
1540100098,4
1540100101,4
1540100104,4
1540100107,4
1540100110,4
1540100113,4
1540100116,4
1540100119,4
1540100122,4
1540100125,4
1540100128,4
1540100131,4
1540100134,4
1540100137,4
1540100140,4
1540100143,4
1540100146,4
1540100149,4
1540100152,4
1540100155,4
1540100158,4
1540100161,4
1540100164,4
1540100167,4
1540100170,4
1540100173,4
1540100176,4
1540100179,4
1540100182,4
1540100185,4
1540100188,4
1540100191,4
1540100194,4
1540100197,4
1540100200,4
1540100203,4
1540100206,4
1540100209,4
1540100212,4
1540100215,4
1540100218,4
1540100221,4
1540100224,4
1540100227,4
1540100230,4
1540100233,4
1540100236,4
1540100239,4
1540100242,4
1540100245,4
1540100248,4
1540100251,4
1540100254,4
1540100257,4
1540100260,4
1540100263,4
1540100266,4
1540100269,4
1540100272,4
1540100275,4
1540100278,4
1540100281,4
1540100284,4
1540100287,4
1540100290,4
1540100293,4
1540100296,4
1540100299,4
1540100302,4
1540100305,4
1540100308,4
1540100311,4
1540100314,4
1540100317,4
1540100320,4
1540100323,4
1540100326,4
1540100329,4
1540100332,4
1540100335,4
1540100338,4
1540100341,4
1540100344,4
1540100347,4
1540100350,4
1540100353,4
t,value
1540100368,4
1540100371,4
1540100374,4
1540100377,4
1540100380,4
1540100383,4
1540100386,4
1540100389,4
1540100392,4
1540100395,4
1540100398,4
1540100401,4
1540100404,4
1540100407,4
1540100410,4
1540100413,4
1540100416,4
1540100419,4
1540100422,4
1540100425,4
1540100428,4
1540100431,4
1540100434,4
1540100437,4
1540100440,4
1540100443,4
1540100446,4
1540100449,4
1540100452,4
1540100455,4
1540100458,4
1540100461,4
1540100464,4
1540100467,4
1540100470,4
1540100473,4
1540100476,4
1540100479,4
1540100482,4
1540100485,4
1540100488,4
1540100491,4
1540100494,4
1540100497,4
1540100500,4
1540100503,4
1540100506,4
1540100509,4
1540100512,4
1540100515,4
1540100518,4
1540100521,4
1540100524,4
1540100527,4
1540100530,4
1540100533,4
1540100536,4
1540100539,4
1540100542,4
1540100545,4
