t,value
1540099427,3124736
t,value
1540099472,1662464
1540099475,1677568
1540099478,1680640
1540099481,1688832
1540099484,1694976
1540099487,1696128
1540099490,1699456
1540099493,1706496
1540099496,1713024
1540099499,1715968
1540099502,1984384
1540099505,2582016
1540099508,2657152
1540099511,2691456
1540099514,2699392
1540099517,2714112
1540099520,2750848
1540099523,2754432
1540099526,2764160
1540099529,2798592
t,value
1540099543,1618944
1540099546,1698944
1540099549,2449920
1540099552,2471680
1540099555,2482560
1540099558,2488320
1540099561,2529664
1540099564,2531072
1540099567,2545152
1540099570,2557952
1540099573,2577024
1540099576,2625920
1540099579,2692864
1540099582,2696192
1540099585,2962944
1540099588,2964864
1540099591,2965760
1540099594,2967168
1540099597,2976768
1540099600,2987008
1540099603,3017728
1540099606,3019648
1540099609,3020544
1540099612,3176576
1540099615,3176576
1540099618,3179776
1540099621,3181440
1540099624,3185280
1540099627,3185280
1540099630,3185920
1540099633,3185920
1540099636,3187200
1540099639,3187200
1540099642,3207936
1540099645,3209344
1540099648,3209984
1540099651,3212288
1540099654,3213312
1540099657,3217152
1540099660,3218688
1540099663,3219584
1540099666,3220480
1540099669,3221376
1540099672,3221376
1540099675,3221376
1540099678,3221376
1540099681,3221376
1540099684,3221376
1540099687,3221888
1540099690,3156352
1540099693,3156352
1540099696,3157248
1540099699,3157248
1540099702,3158016
1540099705,3206144
1540099708,3207424
1540099711,3208320
1540099714,3208320
1540099717,3208320
1540099720,3209216
1540099723,3216896
1540099726,3216896
1540099729,3217536
1540099732,3218432
1540099735,3218432
1540099738,3219072
1540099741,3325696
1540099744,3325696
1540099747,3325696
1540099750,3327232
1540099753,3328896
1540099756,3328896
1540099759,3337344
1540099762,3341696
1540099765,3343744
1540099768,3343744
1540099771,3348864
1540099774,3363328
1540099777,3363328
1540099780,3364224
1540099783,3368576
1540099786,3400448
1540099789,3404288
1540099792,3405184
1540099795,3407872
1540099798,3408768
1540099801,3414144
1540099804,3414144
1540099807,3414144
1540099810,3418112
1540099813,3421952
1540099816,3429760
1540099819,3429760
1540099822,3430784
1540099825,3430784
1540099828,3430784
1540099831,3430784
1540099834,3432064
1540099837,3432064
1540099840,3432064
1540099843,3432960
1540099846,3432960
1540099849,3432960
1540099852,3432960
1540099855,3432960
1540099858,3432960
1540099861,3432960
1540099864,3361664
1540099867,3361664
1540099870,3361664
1540099873,3361664
1540099876,3079168
1540099879,3079168
1540099882,3080576
1540099885,3080576
1540099888,3081472
1540099891,3084160
1540099894,3084160
1540099897,3084160
1540099900,3085056
1540099903,3085056
1540099906,3085056
1540099909,3085056
1540099912,3085056
1540099915,3085056
1540099918,3081728
1540099921,3084672
1540099924,3087488
1540099927,3087488
1540099930,3087488
1540099933,3087488
1540099936,3087488
1540099939,3087488
1540099942,3087488
t,value
1540099969,1614720
1540099972,1630848
1540099975,1633792
1540099978,1642752
1540099981,1649920
1540099984,1651840
1540099987,1658880
1540099990,1660672
1540099993,1666816
1540099996,1670656
1540099999,1699840
1540100002,1757440
1540100005,1825792
1540100008,1832576
1540100011,1837440
1540100014,1847296
1540100017,1847296
1540100020,1854976
1540100023,1865984
1540100026,1868160
1540100029,2865024
1540100032,2881280
1540100035,2883584
1540100038,2888704
1540100041,2889984
1540100044,2891008
1540100047,2891648
1540100050,2891648
1540100053,2891648
1540100056,2894208
1540100059,2895104
1540100062,2915584
1540100065,2915584
1540100068,2916352
1540100071,2917760
1540100074,2919552
1540100077,2921088
1540100080,2921088
1540100083,2924928
1540100086,2925824
1540100089,2925824
1540100092,2926720
1540100095,2926720
1540100098,2926720
1540100101,2926720
1540100104,2926720
1540100107,2926720
1540100110,2926720
1540100113,2926720
1540100116,2927232
1540100119,2928256
1540100122,2928256
1540100125,2929024
1540100128,2929920
1540100131,2990976
1540100134,2990976
