t,value
1540099427,146800640
t,value
1540099472,89128960
1540099475,89128960
1540099478,89128960
1540099481,90177536
1540099484,90177536
1540099487,91226112
1540099490,91226112
1540099493,91226112
1540099496,92274688
1540099499,92274688
1540099502,72351744
1540099505,68157440
1540099508,68157440
1540099511,69206016
1540099514,69206016
1540099517,69206016
1540099520,70254592
1540099523,70254592
1540099526,70254592
1540099529,73400320
t,value
1540099543,37748736
1540099546,25165824
1540099549,105906176
1540099552,106954752
1540099555,106954752
1540099558,106954752
1540099561,108003328
1540099564,108003328
1540099567,108003328
1540099570,109051904
1540099573,109051904
1540099576,109051904
1540099579,109051904
1540099582,110100480
1540099585,132120576
1540099588,133169152
1540099591,133169152
1540099594,134217728
1540099597,134217728
1540099600,134217728
1540099603,136314880
1540099606,136314880
1540099609,136314880
1540099612,140509184
1540099615,140509184
1540099618,140509184
1540099621,141557760
1540099624,141557760
1540099627,141557760
1540099630,142606336
1540099633,142606336
1540099636,142606336
1540099639,143654912
1540099642,143654912
1540099645,143654912
1540099648,143654912
1540099651,144703488
1540099654,144703488
1540099657,144703488
1540099660,145752064
1540099663,145752064
1540099666,145752064
1540099669,146800640
1540099672,146800640
1540099675,146800640
1540099678,146800640
1540099681,147849216
1540099684,147849216
1540099687,147849216
1540099690,148897792
1540099693,148897792
1540099696,148897792
1540099699,149946368
1540099702,149946368
1540099705,149946368
1540099708,149946368
1540099711,150994944
1540099714,150994944
1540099717,150994944
1540099720,152043520
1540099723,152043520
1540099726,152043520
1540099729,153092096
1540099732,153092096
1540099735,153092096
1540099738,153092096
1540099741,157286400
1540099744,157286400
1540099747,158334976
1540099750,158334976
1540099753,159383552
1540099756,159383552
1540099759,159383552
1540099762,159383552
1540099765,160432128
1540099768,160432128
1540099771,160432128
1540099774,161480704
1540099777,161480704
1540099780,161480704
1540099783,162529280
1540099786,162529280
1540099789,163577856
1540099792,163577856
1540099795,163577856
1540099798,164626432
1540099801,164626432
1540099804,164626432
1540099807,164626432
1540099810,165675008
1540099813,165675008
1540099816,165675008
1540099819,166723584
1540099822,166723584
1540099825,166723584
1540099828,166723584
1540099831,167772160
1540099834,167772160
1540099837,167772160
1540099840,168820736
1540099843,168820736
1540099846,168820736
1540099849,169869312
1540099852,169869312
1540099855,169869312
1540099858,169869312
1540099861,170917888
1540099864,170917888
1540099867,170917888
1540099870,171966464
1540099873,171966464
1540099876,171966464
1540099879,173015040
1540099882,173015040
1540099885,173015040
1540099888,174063616
1540099891,174063616
1540099894,174063616
1540099897,174063616
1540099900,175112192
1540099903,175112192
1540099906,175112192
1540099909,176160768
1540099912,176160768
1540099915,176160768
1540099918,176160768
1540099921,177209344
1540099924,177209344
1540099927,177209344
1540099930,178257920
1540099933,178257920
1540099936,178257920
1540099939,179306496
1540099942,179306496
t,value
1540099969,33554432
1540099972,34603008
1540099975,34603008
1540099978,35651584
1540099981,35651584
1540099984,36700160
1540099987,36700160
1540099990,36700160
1540099993,37748736
1540099996,37748736
1540099999,37748736
1540100002,38797312
1540100005,38797312
1540100008,38797312
1540100011,38797312
1540100014,39845888
1540100017,39845888
1540100020,40894464
1540100023,40894464
1540100026,40894464
1540100029,121634816
1540100032,121634816
1540100035,122683392
1540100038,123731968
1540100041,123731968
1540100044,123731968
1540100047,123731968
1540100050,123731968
1540100053,124780544
1540100056,124780544
1540100059,124780544
1540100062,125829120
1540100065,125829120
1540100068,125829120
1540100071,126877696
1540100074,126877696
1540100077,126877696
1540100080,126877696
1540100083,127926272
1540100086,127926272
1540100089,128974848
1540100092,128974848
1540100095,130023424
1540100098,130023424
1540100101,130023424
1540100104,131072000
1540100107,131072000
1540100110,131072000
1540100113,132120576
1540100116,132120576
1540100119,132120576
1540100122,133169152
1540100125,133169152
1540100128,133169152
1540100131,134217728
1540100134,134217728
1540100137,134217728
1540100140,135266304
1540100143,135266304
1540100146,135266304
1540100149,136314880
1540100152,136314880
1540100155,136314880
1540100158,137363456
1540100161,137363456
1540100164,137363456
1540100167,137363456
1540100170,138412032
1540100173,138412032
1540100176,139460608
1540100179,139460608
1540100182,139460608
1540100185,139460608
1540100188,140509184
1540100191,140509184
1540100194,140509184
1540100197,141557760
1540100200,141557760
1540100203,141557760
1540100206,141557760
1540100209,142606336
1540100212,142606336
1540100215,143654912
1540100218,143654912
1540100221,144703488
1540100224,144703488
1540100227,144703488
1540100230,144703488
1540100233,145752064
1540100236,145752064
1540100239,145752064
1540100242,146800640
1540100245,146800640
1540100248,146800640
1540100251,146800640
1540100254,147849216
1540100257,147849216
1540100260,147849216
