t,value
1540099427,56088904
t,value
1540099472,34684904
1540099475,34692344
1540099478,34698160
1540099481,34717776
1540099484,34718584
1540099487,34729864
1540099490,34729864
1540099493,34734552
1540099496,34744288
1540099499,34745040
1540099502,40025832
1540099505,51158128
1540099508,51160920
1540099511,51165584
1540099514,51189296
1540099517,51191680
1540099520,51191680
1540099523,51191680
1540099526,51192952
1540099529,51401176
t,value
1540099543,34396184
1540099546,38298000
1540099549,50817416
1540099552,50837144
1540099555,50842376
1540099558,50850560
1540099561,50852400
1540099564,50855408
1540099567,50864720
1540099570,50865472
1540099573,50865472
1540099576,50866448
1540099579,50870168
1540099582,50876808
1540099585,53381920
1540099588,53384568
1540099591,53385144
1540099594,53385144
1540099597,53385640
1540099600,53387024
1540099603,53402600
1540099606,53414344
1540099609,53419672
1540099612,53550408
1540099615,53550408
1540099618,53571496
1540099621,53571496
1540099624,53574960
1540099627,53575848
1540099630,53575848
1540099633,53580968
1540099636,53585768
1540099639,53586664
1540099642,53588568
1540099645,53588568
1540099648,53590560
1540099651,53596472
1540099654,53599960
1540099657,53599960
1540099660,53599960
1540099663,53602384
1540099666,53602384
1540099669,53602904
1540099672,53603952
1540099675,53603952
1540099678,53606984
1540099681,53608272
1540099684,53620880
1540099687,53629440
1540099690,53630864
1540099693,53630864
1540099696,53631712
1540099699,53632680
1540099702,53636048
1540099705,53636048
1540099708,53636400
1540099711,53636400
1540099714,53636400
1540099717,53636400
1540099720,53636792
1540099723,53637824
1540099726,53637824
1540099729,53637824
1540099732,53638632
1540099735,53638632
1540099738,53638632
1540099741,53808256
1540099744,53808256
1540099747,53808256
1540099750,53808256
1540099753,53808256
1540099756,53808256
1540099759,53808256
1540099762,53810096
1540099765,53810096
1540099768,53810744
1540099771,53811568
1540099774,53811568
1540099777,53811568
1540099780,53811568
1540099783,53816064
1540099786,53816064
1540099789,53816064
1540099792,53816560
1540099795,53817424
1540099798,53818736
1540099801,53819536
1540099804,53819536
1540099807,53819536
1540099810,53819536
1540099813,53819536
1540099816,53819536
1540099819,53819536
1540099822,53821088
1540099825,53821088
1540099828,53821088
1540099831,53821912
1540099834,53821912
1540099837,53821912
1540099840,53827240
1540099843,53830552
1540099846,53830552
1540099849,53830552
1540099852,53830552
1540099855,53830552
1540099858,53830552
1540099861,53831016
1540099864,53842064
1540099867,53842064
1540099870,53842064
1540099873,53842064
1540099876,53842064
1540099879,53842064
1540099882,53842064
1540099885,53842064
1540099888,53842064
1540099891,53842064
1540099894,53842064
1540099897,53842064
1540099900,53842064
1540099903,53847272
1540099906,53847272
1540099909,53847272
1540099912,53847272
1540099915,53847272
1540099918,53848088
1540099921,53848088
1540099924,53859024
1540099927,53859024
1540099930,53859024
1540099933,53859024
1540099936,53859024
1540099939,53859416
1540099942,53859416
t,value
1540099969,34403352
1540099972,34414840
1540099975,34427368
1540099978,34449568
1540099981,34454800
1540099984,34456992
1540099987,34458832
1540099990,34461472
1540099993,34471200
1540099996,34472952
1540099999,34472952
1540100002,34473928
1540100005,34477216
1540100008,34482624
1540100011,34500656
1540100014,34502320
1540100017,34503336
1540100020,34503336
1540100023,34503832
1540100026,34507280
1540100029,53179824
1540100032,53190024
1540100035,53194176
1540100038,53201480
1540100041,53202152
1540100044,53202152
1540100047,53207232
1540100050,53207736
1540100053,53207736
1540100056,53207736
1540100059,53207736
1540100062,53212264
1540100065,53213160
1540100068,53213240
1540100071,53213240
1540100074,53215232
1540100077,53221496
1540100080,53224984
1540100083,53224984
1540100086,53224984
1540100089,53228808
1540100092,53228808
1540100095,53229328
1540100098,53229328
1540100101,53229328
1540100104,53232360
1540100107,53234264
1540100110,53247192
1540100113,53255472
1540100116,53257640
1540100119,53259576
1540100122,53261392
1540100125,53261392
1540100128,53264760
1540100131,53264760
1540100134,53265112
1540100137,53265112
1540100140,53265112
1540100143,53265112
1540100146,53265504
1540100149,53266616
1540100152,53266616
1540100155,53266616
1540100158,53266616
1540100161,53266616
1540100164,53266616
1540100167,53268040
1540100170,53268040
1540100173,53268040
1540100176,53268040
1540100179,53268040
1540100182,53268040
1540100185,53268040
1540100188,53269000
1540100191,53269000
1540100194,53269000
1540100197,53269824
1540100200,53269824
1540100203,53269824
1540100206,53269824
1540100209,53274320
1540100212,53274320
1540100215,53274320
1540100218,53274816
1540100221,53275680
1540100224,53277504
1540100227,53277504
1540100230,53277504
1540100233,53277504
1540100236,53278360
1540100239,53278360
1540100242,53278360
1540100245,53278360
1540100248,53280248
1540100251,53280248
1540100254,53280248
1540100257,53280248
1540100260,53280248
