t,value
1540099427,24
t,value
1540099472,18
1540099475,18
1540099478,18
1540099481,19
1540099484,19
1540099487,19
1540099490,19
1540099493,19
1540099496,19
1540099499,19
1540099502,20
1540099505,20
1540099508,20
1540099511,20
1540099514,20
1540099517,20
1540099520,20
1540099523,20
1540099526,20
1540099529,19
t,value
1540099543,18
1540099546,19
1540099549,19
1540099552,20
1540099555,20
1540099558,20
1540099561,20
1540099564,20
1540099567,20
1540099570,20
1540099573,20
1540099576,20
1540099579,20
1540099582,20
1540099585,22
1540099588,22
1540099591,22
1540099594,22
1540099597,22
1540099600,21
1540099603,21
1540099606,21
1540099609,21
1540099612,21
1540099615,21
1540099618,21
1540099621,21
1540099624,21
1540099627,21
1540099630,21
1540099633,21
1540099636,21
1540099639,21
1540099642,21
1540099645,21
1540099648,21
1540099651,21
1540099654,21
1540099657,21
1540099660,21
1540099663,21
1540099666,21
1540099669,21
1540099672,20
1540099675,20
1540099678,20
1540099681,20
1540099684,20
1540099687,20
1540099690,20
1540099693,20
1540099696,20
1540099699,20
1540099702,20
1540099705,20
1540099708,20
1540099711,20
1540099714,20
1540099717,20
1540099720,20
1540099723,20
1540099726,20
1540099729,20
1540099732,19
1540099735,19
1540099738,19
1540099741,19
1540099744,19
1540099747,19
1540099750,19
1540099753,19
1540099756,19
1540099759,19
1540099762,19
1540099765,19
1540099768,19
1540099771,19
1540099774,19
1540099777,19
1540099780,19
1540099783,19
1540099786,19
1540099789,19
1540099792,19
1540099795,19
1540099798,19
1540099801,19
1540099804,19
1540099807,19
1540099810,19
1540099813,19
1540099816,19
1540099819,19
1540099822,19
1540099825,19
1540099828,19
1540099831,19
1540099834,19
1540099837,19
1540099840,19
1540099843,19
1540099846,19
1540099849,19
1540099852,19
1540099855,19
1540099858,19
1540099861,19
1540099864,19
1540099867,19
1540099870,19
1540099873,19
1540099876,19
1540099879,19
1540099882,19
1540099885,19
1540099888,19
1540099891,19
1540099894,19
1540099897,19
1540099900,19
1540099903,19
1540099906,19
1540099909,19
1540099912,19
1540099915,19
1540099918,19
1540099921,19
1540099924,19
1540099927,19
1540099930,19
1540099933,19
1540099936,19
1540099939,19
1540099942,19
t,value
1540099969,18
1540099972,18
1540099975,18
1540099978,19
1540099981,19
1540099984,19
1540099987,19
1540099990,19
1540099993,19
1540099996,19
1540099999,19
1540100002,19
1540100005,19
1540100008,19
1540100011,19
1540100014,19
1540100017,19
1540100020,19
1540100023,19
1540100026,18
1540100029,19
1540100032,19
1540100035,19
1540100038,19
1540100041,19
1540100044,19
1540100047,19
1540100050,19
1540100053,19
1540100056,19
1540100059,19
1540100062,19
1540100065,19
1540100068,19
1540100071,19
1540100074,19
1540100077,19
1540100080,19
1540100083,19
1540100086,19
1540100089,19
1540100092,19
1540100095,19
1540100098,19
1540100101,19
1540100104,19
1540100107,19
1540100110,19
1540100113,19
1540100116,19
1540100119,19
1540100122,19
1540100125,19
1540100128,19
1540100131,19
1540100134,19
1540100137,19
1540100140,19
1540100143,19
1540100146,19
1540100149,19
1540100152,19
1540100155,19
1540100158,19
1540100161,19
1540100164,19
1540100167,19
1540100170,19
1540100173,19
1540100176,19
1540100179,19
1540100182,19
1540100185,19
1540100188,19
1540100191,19
1540100194,19
1540100197,19
1540100200,19
1540100203,19
1540100206,19
1540100209,19
1540100212,19
1540100215,19
1540100218,19
1540100221,19
1540100224,19
1540100227,19
1540100230,19
1540100233,19
1540100236,19
1540100239,19
1540100242,19
1540100245,19
1540100248,19
1540100251,19
1540100254,19
1540100257,19
1540100260,19
1540100263,19
1540100266,19
1540100269,19
1540100272,19
1540100275,19
1540100278,19
1540100281,19
1540100284,19
1540100287,19
1540100290,19
1540100293,19
1540100296,19
1540100299,19
1540100302,19
1540100305,19
1540100308,19
1540100311,19
1540100314,19
1540100317,19
1540100320,19
1540100323,19
1540100326,19
1540100329,19
1540100332,19
1540100335,19
1540100338,19
1540100341,19
1540100344,19
1540100347,19
1540100350,19
1540100353,19
t,value
1540100368,18
1540100371,18
1540100374,18
1540100377,19
1540100380,19
1540100383,19
1540100386,19
1540100389,19
1540100392,19
1540100395,19
1540100398,19
1540100401,19
1540100404,19
1540100407,19
1540100410,19
1540100413,19
1540100416,19
1540100419,19
1540100422,19
1540100425,18
1540100428,18
1540100431,18
1540100434,18
1540100437,18
1540100440,18
1540100443,18
1540100446,18
1540100449,19
1540100452,19
1540100455,19
1540100458,19
1540100461,19
1540100464,19
1540100467,19
1540100470,19
1540100473,19
1540100476,19
1540100479,19
1540100482,19
1540100485,19
1540100488,19
1540100491,19
1540100494,19
1540100497,19
1540100500,19
1540100503,19
1540100506,19
1540100509,19
1540100512,19
1540100515,19
1540100518,19
1540100521,19
1540100524,19
1540100527,19
1540100530,19
1540100533,19
1540100536,19
1540100539,19
1540100542,19
1540100545,19
1540100548,19
1540100551,19
1540100554,19
1540100557,19
1540100560,19
1540100563,19
1540100566,19
1540100569,19
1540100572,19
1540100575,19
1540100578,19
1540100581,19
1540100584,19
1540100587,19
1540100590,19
1540100593,19
1540100596,19
1540100599,19
1540100602,19
1540100605,19
1540100608,19
1540100611,19
1540100614,19
1540100617,19
1540100620,19
1540100623,19
