t,value
1540099427,29
t,value
1540099472,23
1540099475,23
1540099478,23
1540099481,24
1540099484,24
1540099487,24
1540099490,24
1540099493,24
1540099496,24
1540099499,24
1540099502,25
1540099505,25
1540099508,25
1540099511,25
1540099514,25
1540099517,25
1540099520,25
1540099523,25
1540099526,25
1540099529,24
t,value
1540099543,23
1540099546,24
1540099549,24
1540099552,25
1540099555,25
1540099558,25
1540099561,25
1540099564,25
1540099567,25
1540099570,25
1540099573,25
1540099576,25
1540099579,25
1540099582,25
1540099585,27
1540099588,27
1540099591,27
1540099594,27
1540099597,27
1540099600,26
1540099603,26
1540099606,26
1540099609,26
1540099612,26
1540099615,26
1540099618,26
1540099621,26
1540099624,26
1540099627,26
1540099630,26
1540099633,26
1540099636,26
1540099639,26
1540099642,26
1540099645,26
1540099648,26
1540099651,26
1540099654,26
1540099657,26
1540099660,26
1540099663,26
1540099666,26
1540099669,26
1540099672,25
1540099675,25
1540099678,25
1540099681,25
1540099684,25
1540099687,25
1540099690,25
1540099693,25
1540099696,25
1540099699,25
1540099702,25
1540099705,25
1540099708,25
1540099711,25
1540099714,25
1540099717,25
1540099720,25
1540099723,25
1540099726,25
1540099729,25
1540099732,24
1540099735,24
1540099738,24
1540099741,24
1540099744,24
1540099747,24
1540099750,24
1540099753,24
1540099756,24
1540099759,24
1540099762,24
1540099765,24
1540099768,24
1540099771,24
1540099774,24
1540099777,24
1540099780,24
1540099783,24
1540099786,24
1540099789,24
1540099792,24
1540099795,24
1540099798,24
1540099801,24
1540099804,24
1540099807,24
1540099810,24
1540099813,24
1540099816,24
1540099819,24
1540099822,24
1540099825,24
1540099828,24
1540099831,24
1540099834,24
1540099837,24
1540099840,24
1540099843,24
1540099846,24
1540099849,24
1540099852,24
1540099855,24
1540099858,24
1540099861,24
1540099864,24
1540099867,24
1540099870,24
1540099873,24
1540099876,24
1540099879,24
1540099882,24
1540099885,24
1540099888,24
1540099891,24
1540099894,24
1540099897,24
1540099900,24
1540099903,24
1540099906,24
1540099909,24
1540099912,24
1540099915,24
1540099918,24
1540099921,24
1540099924,24
1540099927,24
1540099930,24
1540099933,24
1540099936,24
1540099939,24
1540099942,24
t,value
1540099969,23
1540099972,23
1540099975,23
1540099978,24
1540099981,24
1540099984,24
1540099987,24
1540099990,24
1540099993,24
1540099996,24
1540099999,24
1540100002,24
1540100005,24
1540100008,24
1540100011,24
1540100014,24
1540100017,24
1540100020,24
1540100023,24
1540100026,23
1540100029,24
1540100032,24
1540100035,24
1540100038,24
1540100041,24
1540100044,24
1540100047,24
1540100050,24
1540100053,24
1540100056,24
1540100059,24
1540100062,24
1540100065,24
1540100068,24
1540100071,24
1540100074,24
1540100077,24
1540100080,24
1540100083,24
1540100086,24
1540100089,24
1540100092,24
1540100095,24
1540100098,24
1540100101,24
1540100104,24
1540100107,24
1540100110,24
1540100113,24
1540100116,24
1540100119,24
1540100122,24
1540100125,24
1540100128,24
1540100131,24
1540100134,24
1540100137,24
1540100140,24
1540100143,24
1540100146,24
1540100149,24
1540100152,24
1540100155,24
1540100158,24
1540100161,24
1540100164,24
1540100167,24
1540100170,24
1540100173,24
1540100176,24
1540100179,24
1540100182,24
1540100185,24
1540100188,24
1540100191,24
1540100194,24
1540100197,24
1540100200,24
1540100203,24
1540100206,24
1540100209,24
1540100212,24
1540100215,24
1540100218,24
1540100221,24
1540100224,24
1540100227,24
1540100230,24
1540100233,24
1540100236,24
1540100239,24
1540100242,24
1540100245,24
1540100248,24
1540100251,24
1540100254,24
1540100257,24
1540100260,24
1540100263,24
1540100266,24
1540100269,24
1540100272,24
1540100275,24
1540100278,24
1540100281,24
1540100284,24
1540100287,24
1540100290,24
1540100293,24
1540100296,24
1540100299,24
1540100302,24
1540100305,24
1540100308,24
1540100311,24
1540100314,24
1540100317,24
1540100320,24
1540100323,24
1540100326,24
1540100329,24
1540100332,24
1540100335,24
1540100338,24
1540100341,24
1540100344,24
1540100347,24
1540100350,24
1540100353,24
t,value
1540100368,23
1540100371,23
1540100374,23
1540100377,24
1540100380,24
1540100383,24
1540100386,24
1540100389,24
1540100392,24
1540100395,24
1540100398,24
1540100401,24
1540100404,24
1540100407,24
1540100410,24
1540100413,24
1540100416,24
1540100419,24
1540100422,24
1540100425,23
1540100428,23
1540100431,23
1540100434,23
1540100437,23
1540100440,23
1540100443,23
1540100446,23
1540100449,24
1540100452,24
1540100455,24
1540100458,24
1540100461,24
1540100464,24
1540100467,24
1540100470,24
1540100473,24
1540100476,24
1540100479,24
1540100482,24
1540100485,24
1540100488,24
1540100491,24
1540100494,24
1540100497,24
1540100500,24
1540100503,24
1540100506,24
1540100509,24
1540100512,24
1540100515,24
1540100518,24
1540100521,24
1540100524,24
1540100527,24
1540100530,24
1540100533,24
1540100536,24
1540100539,24
1540100542,24
1540100545,24
1540100548,24
1540100551,24
1540100554,24
1540100557,24
1540100560,24
1540100563,24
1540100566,24
1540100569,24
1540100572,24
1540100575,24
1540100578,24
1540100581,24
1540100584,24
1540100587,24
1540100590,24
1540100593,24
1540100596,24
1540100599,24
1540100602,24
1540100605,24
1540100608,24
1540100611,24
1540100614,24
1540100617,24
1540100620,24
1540100623,24
