t,value
1540602099,14
1540602113,14
1540602121,38
1540602136,54
1540602140,64
1540602142,64
1540602143,64
1540602145,64
t,value
1540602283,9
1540602286,9
1540602289,9
1540602292,9
1540602295,9
1540602298,9
1540602301,9
1540602306,9
1540602312,9
1540602316,9
1540602317,9
1540602319,9
1540602320,9
1540602322,9
1540602325,9
1540602328,9
1540602332,9
1540602334,9
1540602337,9
1540602341,9
1540602343,9
1540602346,9
1540602349,9
1540602352,9
1540602355,9
1540602358,9
1540602361,9
1540602364,9
1540602367,9
1540602370,9
1540602373,9
1540602377,9
1540602379,9
1540602382,9
1540602385,9
1540602388,9
1540602392,9
1540602394,9
1540602397,9
1540602400,9
1540602403,9
1540602406,9
1540602410,9
1540602412,9
1540602416,9
1540602418,9
1540602421,9
1540602424,9
1540602427,9
1540602430,9
1540602433,9
1540602436,9
1540602439,9
1540602442,9
1540602445,9
1540602448,9
1540602451,9
1540602454,9
1540602457,9
1540602460,9
1540602463,9
1540602466,9
1540602469,9
1540602472,9
1540602475,9
1540602478,9
1540602481,9
1540602485,9
1540602487,9
1540602491,9
1540602493,9
1540602496,9
1540602499,9
1540602502,9
1540602505,9
1540602508,9
1540602511,9
