t,value
1540602099,32
1540602113,32
1540602121,232216
1540602136,232216
1540602140,232216
1540602142,232216
1540602143,232216
1540602145,232216
t,value
1540602283,89
1540602286,127
1540602289,127
1540602292,127
1540602295,127
1540602298,127
1540602301,127
1540602306,127
1540602312,127
1540602316,267
1540602317,267
1540602319,267
1540602320,267
1540602322,267
1540602325,267
1540602328,267
1540602332,267
1540602334,267
1540602337,267
1540602341,267
1540602343,267
1540602346,311
1540602349,311
1540602352,311
1540602355,311
1540602358,311
1540602361,463
1540602364,463
1540602367,463
1540602370,463
1540602373,463
1540602377,463
1540602379,463
1540602382,463
1540602385,463
1540602388,463
1540602392,590
1540602394,590
1540602397,590
1540602400,590
1540602403,590
1540602406,636
1540602410,636
1540602412,636
1540602416,636
1540602418,636
1540602421,636
1540602424,636
1540602427,636
1540602430,636
1540602433,636
1540602436,636
1540602439,636
1540602442,636
1540602445,636
1540602448,636
1540602451,636
1540602454,636
1540602457,636
1540602460,636
1540602463,636
1540602466,636
1540602469,682
1540602472,682
1540602475,682
1540602478,682
1540602481,682
1540602485,682
1540602487,682
1540602491,682
1540602493,682
1540602496,682
1540602499,682
1540602502,682
1540602505,682
1540602508,682
1540602511,682
