t,value
1540602099,22
1540602113,23
1540602121,41
1540602136,41
1540602140,41
1540602142,41
1540602143,41
1540602145,41
t,value
1540602283,81
1540602286,81
1540602289,81
1540602292,81
1540602295,81
1540602298,81
1540602301,81
1540602306,81
1540602312,81
1540602316,87
1540602317,87
1540602319,87
1540602320,87
1540602322,87
1540602325,87
1540602328,87
1540602332,87
1540602334,87
1540602337,87
1540602341,87
1540602343,87
1540602346,87
1540602349,87
1540602352,87
1540602355,87
1540602358,87
1540602361,89
1540602364,89
1540602367,89
1540602370,89
1540602373,89
1540602377,89
1540602379,89
1540602382,89
1540602385,89
1540602388,89
1540602392,89
1540602394,89
1540602397,89
1540602400,89
1540602403,89
1540602406,89
1540602410,89
1540602412,89
1540602416,89
1540602418,89
1540602421,89
1540602424,89
1540602427,89
1540602430,89
1540602433,89
1540602436,89
1540602439,89
1540602442,89
1540602445,89
1540602448,89
1540602451,89
1540602454,89
1540602457,89
1540602460,89
1540602463,89
1540602466,89
1540602469,89
1540602472,89
1540602475,89
1540602478,89
1540602481,89
1540602485,89
1540602487,89
1540602491,89
1540602493,89
1540602496,89
1540602499,89
1540602502,89
1540602505,89
1540602508,89
1540602511,89
