t,value
1540099427,138
t,value
1540099472,241
1540099475,241
1540099478,241
1540099481,241
1540099484,241
1540099487,241
1540099490,241
1540099493,241
1540099496,241
1540099499,241
1540099502,241
1540099505,246
1540099508,246
1540099511,246
1540099514,246
1540099517,246
1540099520,246
1540099523,246
1540099526,246
1540099529,246
t,value
1540099543,276
1540099546,276
1540099549,281
1540099552,281
1540099555,281
1540099558,281
1540099561,281
1540099564,281
1540099567,281
1540099570,281
1540099573,281
1540099576,281
1540099579,281
1540099582,281
1540099585,294
1540099588,294
1540099591,294
1540099594,294
1540099597,294
1540099600,294
1540099603,363
1540099606,363
1540099609,363
1540099612,376
1540099615,376
1540099618,382
1540099621,382
1540099624,388
1540099627,388
1540099630,388
1540099633,388
1540099636,388
1540099639,388
1540099642,388
1540099645,388
1540099648,388
1540099651,388
1540099654,388
1540099657,388
1540099660,388
1540099663,457
1540099666,457
1540099669,457
1540099672,457
1540099675,457
1540099678,457
1540099681,457
1540099684,457
1540099687,457
1540099690,457
1540099693,457
1540099696,457
1540099699,457
1540099702,457
1540099705,457
1540099708,457
1540099711,457
1540099714,457
1540099717,457
1540099720,457
1540099723,526
1540099726,526
1540099729,526
1540099732,526
1540099735,526
1540099738,526
1540099741,538
1540099744,538
1540099747,538
1540099750,538
1540099753,538
1540099756,538
1540099759,538
1540099762,538
1540099765,538
1540099768,538
1540099771,538
1540099774,538
1540099777,538
1540099780,538
1540099783,607
1540099786,607
1540099789,607
1540099792,607
1540099795,607
1540099798,607
1540099801,607
1540099804,607
1540099807,607
1540099810,607
1540099813,607
1540099816,607
1540099819,607
1540099822,607
1540099825,607
1540099828,607
1540099831,607
1540099834,607
1540099837,607
1540099840,607
1540099843,676
1540099846,676
1540099849,676
1540099852,676
1540099855,676
1540099858,676
1540099861,676
1540099864,676
1540099867,676
1540099870,676
1540099873,676
1540099876,676
1540099879,676
1540099882,676
1540099885,676
1540099888,676
1540099891,676
1540099894,676
1540099897,676
1540099900,676
1540099903,745
1540099906,745
1540099909,745
1540099912,745
1540099915,745
1540099918,745
1540099921,745
1540099924,745
1540099927,745
1540099930,745
1540099933,745
1540099936,745
1540099939,745
1540099942,745
t,value
1540099969,279
1540099972,279
1540099975,279
1540099978,279
1540099981,279
1540099984,279
1540099987,279
1540099990,279
1540099993,279
1540099996,279
1540099999,279
1540100002,279
1540100005,279
1540100008,279
1540100011,279
1540100014,279
1540100017,279
1540100020,279
1540100023,279
1540100026,279
1540100029,361
1540100032,361
1540100035,361
1540100038,361
1540100041,361
1540100044,361
1540100047,361
1540100050,361
1540100053,361
1540100056,361
1540100059,361
1540100062,361
1540100065,361
1540100068,361
1540100071,361
1540100074,361
1540100077,361
1540100080,361
1540100083,361
1540100086,361
1540100089,430
1540100092,430
1540100095,430
1540100098,430
1540100101,430
1540100104,430
1540100107,430
1540100110,430
1540100113,430
1540100116,430
1540100119,430
1540100122,430
1540100125,430
1540100128,430
1540100131,430
1540100134,430
1540100137,430
1540100140,430
1540100143,430
1540100146,430
1540100149,499
1540100152,499
1540100155,499
1540100158,499
1540100161,499
1540100164,499
1540100167,499
1540100170,499
1540100173,499
1540100176,499
1540100179,499
1540100182,499
1540100185,499
1540100188,499
1540100191,499
1540100194,499
1540100197,499
1540100200,499
1540100203,499
1540100206,499
1540100209,568
1540100212,568
1540100215,568
1540100218,568
1540100221,568
1540100224,568
1540100227,568
1540100230,568
1540100233,568
1540100236,568
1540100239,568
1540100242,568
1540100245,568
1540100248,568
1540100251,568
1540100254,568
1540100257,568
1540100260,568
1540100263,568
1540100266,568
1540100269,637
1540100272,637
1540100275,637
1540100278,637
1540100281,637
1540100284,637
1540100287,637
1540100290,637
1540100293,637
1540100296,637
1540100299,637
1540100302,637
1540100305,637
1540100308,637
1540100311,637
1540100314,637
1540100317,637
1540100320,637
1540100323,637
1540100326,637
1540100329,706
1540100332,706
1540100335,706
1540100338,706
1540100341,706
1540100344,706
1540100347,706
1540100350,706
1540100353,706
t,value
1540100368,279
1540100371,279
1540100374,279
1540100377,279
1540100380,279
1540100383,279
1540100386,279
1540100389,279
1540100392,279
1540100395,279
1540100398,279
1540100401,279
1540100404,279
1540100407,279
1540100410,279
1540100413,279
1540100416,279
1540100419,279
1540100422,279
1540100425,279
1540100428,348
1540100431,348
1540100434,348
1540100437,348
1540100440,348
1540100443,348
1540100446,348
1540100449,348
1540100452,362
1540100455,362
1540100458,362
1540100461,362
1540100464,362
1540100467,362
1540100470,362
1540100473,362
1540100476,362
1540100479,362
1540100482,362
1540100485,362
1540100488,431
1540100491,431
1540100494,431
1540100497,431
1540100500,431
1540100503,431
1540100506,431
1540100509,431
1540100512,431
1540100515,431
1540100518,431
1540100521,431
1540100524,431
1540100527,431
1540100530,431
1540100533,431
1540100536,431
1540100539,431
1540100542,431
1540100545,431
1540100548,500
1540100551,500
1540100554,500
1540100557,500
1540100560,500
1540100563,500
1540100566,500
1540100569,500
1540100572,500
1540100575,500
1540100578,500
1540100581,500
1540100584,500
1540100587,500
1540100590,500
1540100593,500
1540100596,500
1540100599,500
1540100602,500
1540100605,500
1540100608,569
1540100611,569
1540100614,569
1540100617,569
1540100620,569
1540100623,569
