t,value
1540602099,51
1540602113,52
1540602121,232251
1540602136,232253
1540602140,232253
1540602142,232253
1540602143,232253
1540602145,232253
t,value
1540602283,161
1540602286,199
1540602289,199
1540602292,199
1540602295,199
1540602298,199
1540602301,199
1540602306,199
1540602312,199
1540602316,341
1540602317,341
1540602319,341
1540602320,341
1540602322,341
1540602325,341
1540602328,341
1540602332,341
1540602334,341
1540602337,341
1540602341,341
1540602343,341
1540602346,385
1540602349,385
1540602352,385
1540602355,385
1540602358,385
1540602361,538
1540602364,538
1540602367,538
1540602370,538
1540602373,538
1540602377,538
1540602379,538
1540602382,538
1540602385,538
1540602388,538
1540602392,665
1540602394,665
1540602397,665
1540602400,665
1540602403,665
1540602406,711
1540602410,711
1540602412,711
1540602416,711
1540602418,711
1540602421,711
1540602424,711
1540602427,711
1540602430,711
1540602433,711
1540602436,711
1540602439,711
1540602442,711
1540602445,711
1540602448,711
1540602451,711
1540602454,711
1540602457,711
1540602460,711
1540602463,711
1540602466,711
1540602469,757
1540602472,757
1540602475,757
1540602478,757
1540602481,757
1540602485,757
1540602487,757
1540602491,757
1540602493,757
1540602496,757
1540602499,757
1540602502,757
1540602505,757
1540602508,757
1540602511,757
