t,value
1540602099,2.2235473666124255E-4
1540602113,2.324617701458445E-4
1540602121,4.143883728686793E-4
1540602136,4.143883728686793E-4
1540602140,4.143883728686793E-4
1540602142,4.143883728686793E-4
1540602143,4.143883728686793E-4
1540602145,4.143883728686793E-4
t,value
1540602283,8.186697122527567E-4
1540602286,8.186697122527567E-4
1540602289,8.186697122527567E-4
1540602292,8.186697122527567E-4
1540602295,8.186697122527567E-4
1540602298,8.186697122527567E-4
1540602301,8.186697122527567E-4
1540602306,8.186697122527567E-4
1540602312,8.186697122527567E-4
1540602316,8.793119131603683E-4
1540602317,8.793119131603683E-4
1540602319,8.793119131603683E-4
1540602320,8.793119131603683E-4
1540602322,8.793119131603683E-4
1540602325,8.793119131603683E-4
1540602328,8.793119131603683E-4
1540602332,8.793119131603683E-4
1540602334,8.793119131603683E-4
1540602337,8.793119131603683E-4
1540602341,8.793119131603683E-4
1540602343,8.793119131603683E-4
1540602346,8.793119131603683E-4
1540602349,8.793119131603683E-4
1540602352,8.793119131603683E-4
1540602355,8.793119131603683E-4
1540602358,8.793119131603683E-4
1540602361,8.995259801295722E-4
1540602364,8.995259801295722E-4
1540602367,8.995259801295722E-4
1540602370,8.995259801295722E-4
1540602373,8.995259801295722E-4
1540602377,8.995259801295722E-4
1540602379,8.995259801295722E-4
1540602382,8.995259801295722E-4
1540602385,8.995259801295722E-4
1540602388,8.995259801295722E-4
1540602392,8.995259801295722E-4
1540602394,8.995259801295722E-4
1540602397,8.995259801295722E-4
1540602400,8.995259801295722E-4
1540602403,8.995259801295722E-4
1540602406,8.995259801295722E-4
1540602410,8.995259801295722E-4
1540602412,8.995259801295722E-4
1540602416,8.995259801295722E-4
1540602418,8.995259801295722E-4
1540602421,8.995259801295722E-4
1540602424,8.995259801295722E-4
1540602427,8.995259801295722E-4
1540602430,8.995259801295722E-4
1540602433,8.995259801295722E-4
1540602436,8.995259801295722E-4
1540602439,8.995259801295722E-4
1540602442,8.995259801295722E-4
1540602445,8.995259801295722E-4
1540602448,8.995259801295722E-4
1540602451,8.995259801295722E-4
1540602454,8.995259801295722E-4
1540602457,8.995259801295722E-4
1540602460,8.995259801295722E-4
1540602463,8.995259801295722E-4
1540602466,8.995259801295722E-4
1540602469,8.995259801295722E-4
1540602472,8.995259801295722E-4
1540602475,8.995259801295722E-4
1540602478,8.995259801295722E-4
1540602481,8.995259801295722E-4
1540602485,8.995259801295722E-4
1540602487,8.995259801295722E-4
1540602491,8.995259801295722E-4
1540602493,8.995259801295722E-4
1540602496,8.995259801295722E-4
1540602499,8.995259801295722E-4
1540602502,8.995259801295722E-4
1540602505,8.995259801295722E-4
1540602508,8.995259801295722E-4
1540602511,8.995259801295722E-4
