t,value
1540602099,1
1540602113,1
1540602121,12
1540602136,12
1540602140,12
1540602142,12
1540602143,12
1540602145,12
t,value
1540602283,12
1540602286,12
1540602289,12
1540602292,12
1540602295,12
1540602298,12
1540602301,12
1540602306,12
1540602312,12
1540602316,12
1540602317,12
1540602319,12
1540602320,12
1540602322,12
1540602325,12
1540602328,12
1540602332,12
1540602334,12
1540602337,12
1540602341,12
1540602343,12
1540602346,12
1540602349,12
1540602352,12
1540602355,12
1540602358,12
1540602361,12
1540602364,12
1540602367,12
1540602370,12
1540602373,12
1540602377,12
1540602379,12
1540602382,12
1540602385,12
1540602388,12
1540602392,12
1540602394,12
1540602397,12
1540602400,12
1540602403,12
1540602406,12
1540602410,12
1540602412,12
1540602416,12
1540602418,12
1540602421,12
1540602424,12
1540602427,12
1540602430,12
1540602433,12
1540602436,12
1540602439,12
1540602442,12
1540602445,12
1540602448,12
1540602451,12
1540602454,12
1540602457,12
1540602460,12
1540602463,12
1540602466,12
1540602469,12
1540602472,12
1540602475,12
1540602478,12
1540602481,12
1540602485,12
1540602487,12
1540602491,12
1540602493,12
1540602496,12
1540602499,12
1540602502,12
1540602505,12
1540602508,12
1540602511,12
