t,value
1540602099,1
1540602113,1
1540602121,2
1540602136,2
1540602140,2
1540602142,2
1540602143,2
1540602145,2
t,value
1540602283,0
1540602286,0
1540602289,0
1540602292,0
1540602295,0
1540602298,1
1540602301,1
1540602306,1
1540602312,1
1540602316,1
1540602317,1
1540602319,1
1540602320,1
1540602322,1
1540602325,1
1540602328,1
1540602332,1
1540602334,1
1540602337,1
1540602341,1
1540602343,1
1540602346,1
1540602349,1
1540602352,1
1540602355,1
1540602358,1
1540602361,1
1540602364,1
1540602367,1
1540602370,1
1540602373,1
1540602377,1
1540602379,1
1540602382,1
1540602385,1
1540602388,1
1540602392,1
1540602394,1
1540602397,1
1540602400,1
1540602403,1
1540602406,1
1540602410,1
1540602412,1
1540602416,1
1540602418,1
1540602421,1
1540602424,1
1540602427,1
1540602430,1
1540602433,1
1540602436,1
1540602439,1
1540602442,1
1540602445,1
1540602448,1
1540602451,1
1540602454,1
1540602457,1
1540602460,1
1540602463,1
1540602466,1
1540602469,1
1540602472,1
1540602475,1
1540602478,1
1540602481,1
1540602485,1
1540602487,1
1540602491,1
1540602493,1
1540602496,1
1540602499,1
1540602502,1
1540602505,1
1540602508,1
1540602511,1
