t,value
1540602099,1
1540602113,8
1540602121,19
1540602136,19
1540602140,19
1540602142,19
1540602143,19
1540602145,19
t,value
1540602283,0
1540602286,0
1540602289,0
1540602292,0
1540602295,0
1540602298,1
1540602301,1
1540602306,1
1540602312,1
1540602316,1
1540602317,1
1540602319,1
1540602320,1
1540602322,1
1540602325,1
1540602328,1
1540602332,1
1540602334,1
1540602337,1
1540602341,1
1540602343,1
1540602346,1
1540602349,1
1540602352,1
1540602355,1
1540602358,1
1540602361,2
1540602364,2
1540602367,2
1540602370,2
1540602373,2
1540602377,2
1540602379,2
1540602382,2
1540602385,2
1540602388,2
1540602392,3
1540602394,3
1540602397,3
1540602400,3
1540602403,3
1540602406,3
1540602410,3
1540602412,3
1540602416,3
1540602418,3
1540602421,3
1540602424,3
1540602427,3
1540602430,3
1540602433,3
1540602436,3
1540602439,3
1540602442,3
1540602445,3
1540602448,3
1540602451,3
1540602454,3
1540602457,3
1540602460,3
1540602463,3
1540602466,3
1540602469,3
1540602472,3
1540602475,3
1540602478,3
1540602481,3
1540602485,3
1540602487,3
1540602491,3
1540602493,3
1540602496,3
1540602499,3
1540602502,3
1540602505,3
1540602508,3
1540602511,3
