t,value
1540602099,47
1540602113,55
1540602121,66
1540602136,66
1540602140,66
1540602142,66
1540602143,66
1540602145,66
t,value
1540602283,28
1540602286,28
1540602289,28
1540602292,28
1540602295,28
1540602298,32
1540602301,42
1540602306,48
1540602312,53
1540602316,53
1540602317,53
1540602319,53
1540602320,53
1540602322,53
1540602325,53
1540602328,53
1540602332,53
1540602334,53
1540602337,53
1540602341,53
1540602343,53
1540602346,53
1540602349,53
1540602352,53
1540602355,53
1540602358,53
1540602361,55
1540602364,55
1540602367,55
1540602370,55
1540602373,55
1540602377,55
1540602379,55
1540602382,55
1540602385,55
1540602388,55
1540602392,55
1540602394,55
1540602397,55
1540602400,55
1540602403,55
1540602406,55
1540602410,55
1540602412,55
1540602416,55
1540602418,56
1540602421,56
1540602424,56
1540602427,56
1540602430,56
1540602433,56
1540602436,56
1540602439,56
1540602442,56
1540602445,56
1540602448,56
1540602451,56
1540602454,56
1540602457,56
1540602460,56
1540602463,56
1540602466,56
1540602469,56
1540602472,56
1540602475,56
1540602478,56
1540602481,56
1540602485,56
1540602487,56
1540602491,56
1540602493,56
1540602496,56
1540602499,56
1540602502,56
1540602505,56
1540602508,56
1540602511,56
