t,value
1540602099,2
1540602113,3
1540602121,3
1540602136,3
1540602140,3
1540602142,3
1540602143,3
1540602145,3
t,value
1540602283,1
1540602286,1
1540602289,1
1540602292,1
1540602295,1
1540602298,1
1540602301,2
1540602306,2
1540602312,2
1540602316,2
1540602317,2
1540602319,2
1540602320,2
1540602322,2
1540602325,2
1540602328,2
1540602332,2
1540602334,2
1540602337,2
1540602341,2
1540602343,2
1540602346,2
1540602349,2
1540602352,2
1540602355,2
1540602358,2
1540602361,2
1540602364,2
1540602367,2
1540602370,2
1540602373,2
1540602377,2
1540602379,2
1540602382,2
1540602385,2
1540602388,2
1540602392,2
1540602394,2
1540602397,2
1540602400,2
1540602403,2
1540602406,2
1540602410,2
1540602412,2
1540602416,2
1540602418,2
1540602421,2
1540602424,2
1540602427,2
1540602430,2
1540602433,2
1540602436,2
1540602439,2
1540602442,2
1540602445,2
1540602448,2
1540602451,2
1540602454,2
1540602457,2
1540602460,2
1540602463,2
1540602466,2
1540602469,2
1540602472,2
1540602475,2
1540602478,2
1540602481,2
1540602485,2
1540602487,2
1540602491,2
1540602493,2
1540602496,2
1540602499,2
1540602502,2
1540602505,2
1540602508,2
1540602511,2
