t,value
1540602099,325
1540602113,384
1540602121,530
1540602136,530
1540602140,530
1540602142,530
1540602143,530
1540602145,530
t,value
1540602283,207
1540602286,207
1540602289,207
1540602292,207
1540602295,207
1540602298,228
1540602301,299
1540602306,351
1540602312,373
1540602316,373
1540602317,373
1540602319,373
1540602320,373
1540602322,373
1540602325,373
1540602328,373
1540602332,373
1540602334,373
1540602337,373
1540602341,373
1540602343,373
1540602346,373
1540602349,373
1540602352,373
1540602355,373
1540602358,373
1540602361,385
1540602364,385
1540602367,385
1540602370,385
1540602373,385
1540602377,385
1540602379,385
1540602382,385
1540602385,385
1540602388,385
1540602392,385
1540602394,385
1540602397,385
1540602400,385
1540602403,385
1540602406,385
1540602410,385
1540602412,385
1540602416,385
1540602418,390
1540602421,390
1540602424,390
1540602427,390
1540602430,390
1540602433,390
1540602436,390
1540602439,390
1540602442,390
1540602445,390
1540602448,390
1540602451,390
1540602454,390
1540602457,390
1540602460,390
1540602463,390
1540602466,390
1540602469,390
1540602472,390
1540602475,390
1540602478,390
1540602481,390
1540602485,390
1540602487,390
1540602491,390
1540602493,390
1540602496,390
1540602499,390
1540602502,390
1540602505,390
1540602508,390
1540602511,390
