t,value
1540602099,168
1540602113,275
1540602121,275
1540602136,275
1540602140,275
1540602142,275
1540602143,275
1540602145,275
t,value
1540602283,62
1540602286,62
1540602289,62
1540602292,62
1540602295,62
1540602298,62
1540602301,161
1540602306,161
1540602312,161
1540602316,161
1540602317,161
1540602319,161
1540602320,161
1540602322,161
1540602325,161
1540602328,161
1540602332,161
1540602334,161
1540602337,161
1540602341,161
1540602343,161
1540602346,161
1540602349,161
1540602352,161
1540602355,161
1540602358,161
1540602361,161
1540602364,161
1540602367,161
1540602370,161
1540602373,161
1540602377,161
1540602379,161
1540602382,161
1540602385,161
1540602388,161
1540602392,161
1540602394,161
1540602397,161
1540602400,161
1540602403,161
1540602406,161
1540602410,161
1540602412,161
1540602416,161
1540602418,161
1540602421,161
1540602424,161
1540602427,161
1540602430,161
1540602433,161
1540602436,161
1540602439,161
1540602442,161
1540602445,161
1540602448,161
1540602451,161
1540602454,161
1540602457,161
1540602460,161
1540602463,161
1540602466,161
1540602469,161
1540602472,161
1540602475,161
1540602478,161
1540602481,161
1540602485,161
1540602487,161
1540602491,161
1540602493,161
1540602496,161
1540602499,161
1540602502,161
1540602505,161
1540602508,161
1540602511,161
