t,value
1540602099,4
1540602113,4
1540602121,6
1540602136,6
1540602140,6
1540602142,6
1540602143,6
1540602145,3
t,value
1540602283,4
1540602286,4
1540602289,4
1540602292,4
1540602295,4
1540602298,4
1540602301,4
1540602306,4
1540602312,4
1540602316,4
1540602317,4
1540602319,4
1540602320,4
1540602322,4
1540602325,4
1540602328,4
1540602332,4
1540602334,4
1540602337,4
1540602341,4
1540602343,4
1540602346,4
1540602349,4
1540602352,4
1540602355,4
1540602358,4
1540602361,4
1540602364,4
1540602367,4
1540602370,4
1540602373,4
1540602377,4
1540602379,4
1540602382,4
1540602385,4
1540602388,4
1540602392,4
1540602394,4
1540602397,4
1540602400,4
1540602403,4
1540602406,4
1540602410,4
1540602412,4
1540602416,4
1540602418,4
1540602421,4
1540602424,4
1540602427,4
1540602430,4
1540602433,4
1540602436,4
1540602439,4
1540602442,4
1540602445,4
1540602448,4
1540602451,4
1540602454,4
1540602457,4
1540602460,4
1540602463,4
1540602466,4
1540602469,4
1540602472,4
1540602475,4
1540602478,4
1540602481,4
1540602485,4
1540602487,4
1540602491,4
1540602493,4
1540602496,4
1540602499,4
1540602502,4
1540602505,4
1540602508,4
1540602511,4
