t,value
1540602099,197602
1540602113,312036
1540602121,344804
1540602136,344804
1540602140,344804
1540602142,344804
1540602143,344804
1540602145,148196
t,value
1540602283,212992
1540602286,212992
1540602289,212992
1540602292,212992
1540602295,212992
1540602298,212992
1540602301,212992
1540602306,212992
1540602312,212992
1540602316,212992
1540602317,212992
1540602319,212992
1540602320,212992
1540602322,212992
1540602325,212992
1540602328,212992
1540602332,212992
1540602334,212992
1540602337,212992
1540602341,212992
1540602343,212992
1540602346,212992
1540602349,212992
1540602352,212992
1540602355,212992
1540602358,212992
1540602361,212992
1540602364,212992
1540602367,212992
1540602370,212992
1540602373,212992
1540602377,212992
1540602379,212992
1540602382,212992
1540602385,212992
1540602388,212992
1540602392,212992
1540602394,212992
1540602397,212992
1540602400,212992
1540602403,212992
1540602406,212992
1540602410,212992
1540602412,212992
1540602416,212992
1540602418,212992
1540602421,212992
1540602424,212992
1540602427,212992
1540602430,212992
1540602433,212992
1540602436,212992
1540602439,212992
1540602442,212992
1540602445,212992
1540602448,212992
1540602451,212992
1540602454,212992
1540602457,212992
1540602460,212992
1540602463,212992
1540602466,212992
1540602469,212992
1540602472,212992
1540602475,212992
1540602478,212992
1540602481,212992
1540602485,212992
1540602487,212992
1540602491,212992
1540602493,212992
1540602496,212992
1540602499,212992
1540602502,212992
1540602505,212992
1540602508,212992
1540602511,212992
