t,value
1540602099,9565824
1540602113,13865536
1540602121,18063296
1540602136,18018176
1540602140,18048320
1540602142,18067200
1540602143,18102400
1540602145,17615296
t,value
1540602283,8354624
1540602286,8353728
1540602289,8359424
1540602292,8387200
1540602295,8412544
1540602298,8390080
1540602301,9395136
1540602306,10151424
1540602312,10681856
1540602316,10761024
1540602317,10761024
1540602319,10799488
1540602320,10800448
1540602322,10805888
1540602325,10857600
1540602328,10877312
1540602332,10887488
1540602334,10890176
1540602337,10895936
1540602341,10910144
1540602343,10940736
1540602346,10993216
1540602349,11008832
1540602352,11008832
1540602355,11007808
1540602358,11006592
1540602361,11500928
1540602364,11500928
1540602367,11501632
1540602370,11521472
1540602373,11530880
1540602377,11530880
1540602379,11530880
1540602382,11538880
1540602385,11542272
1540602388,11549504
1540602392,12076736
1540602394,12080064
1540602397,12080064
1540602400,12080064
1540602403,12081728
1540602406,12091712
1540602410,12131072
1540602412,12133824
1540602416,12131968
1540602418,12131968
1540602421,11945152
1540602424,11655552
1540602427,11667968
1540602430,11668736
1540602433,11668736
1540602436,11672960
1540602439,11673664
1540602442,11675456
1540602445,11706048
1540602448,11706048
1540602451,11707072
1540602454,11707840
1540602457,11709888
1540602460,11711616
1540602463,11718016
1540602466,11741056
1540602469,11741056
1540602472,11741760
1540602475,11741760
1540602478,11742720
1540602481,11743424
1540602485,11743424
1540602487,11744448
1540602491,11744448
1540602493,11745664
1540602496,11751168
1540602499,11761792
1540602502,11779328
1540602505,11780544
1540602508,11794304
1540602511,11813824
