t,value
1540099427,1315456
t,value
1540099472,1277184
1540099475,1277184
1540099478,1277184
1540099481,1277184
1540099484,1277184
1540099487,1277184
1540099490,1277184
1540099493,1277184
1540099496,1277184
1540099499,1277184
1540099502,1286912
1540099505,1305728
1540099508,1305728
1540099511,1305728
1540099514,1305728
1540099517,1305728
1540099520,1305728
1540099523,1305728
1540099526,1305728
1540099529,1305728
t,value
1540099543,1273216
1540099546,1282944
1540099549,1301760
1540099552,1301760
1540099555,1301760
1540099558,1301760
1540099561,1301760
1540099564,1301760
1540099567,1301760
1540099570,1301760
1540099573,1301760
1540099576,1301760
1540099579,1301760
1540099582,1301760
1540099585,1310080
1540099588,1310080
1540099591,1310080
1540099594,1310080
1540099597,1310080
1540099600,1310080
1540099603,1310080
1540099606,1310080
1540099609,1310080
1540099612,1310080
1540099615,1310080
1540099618,1310080
1540099621,1310080
1540099624,1310080
1540099627,1310080
1540099630,1310080
1540099633,1310080
1540099636,1310080
1540099639,1310080
1540099642,1310080
1540099645,1310080
1540099648,1321472
1540099651,1310080
1540099654,1310080
1540099657,1310080
1540099660,1310080
1540099663,1310080
1540099666,1310080
1540099669,1310080
1540099672,1310080
1540099675,1310080
1540099678,1310080
1540099681,1310080
1540099684,1310080
1540099687,1310080
1540099690,1310080
1540099693,1310080
1540099696,1310080
1540099699,1310080
1540099702,1310080
1540099705,1310080
1540099708,1310080
1540099711,1310080
1540099714,1310080
1540099717,1310080
1540099720,1310080
1540099723,1310080
1540099726,1310080
1540099729,1310080
1540099732,1310080
1540099735,1310080
1540099738,1310080
1540099741,1310720
1540099744,1310720
1540099747,1310720
1540099750,1310720
1540099753,1310720
1540099756,1310720
1540099759,1310720
1540099762,1310720
1540099765,1310720
1540099768,1310720
1540099771,1310720
1540099774,1310720
1540099777,1310720
1540099780,1310720
1540099783,1310720
1540099786,1310720
1540099789,1310720
1540099792,1310720
1540099795,1310720
1540099798,1310720
1540099801,1310720
1540099804,1310720
1540099807,1310720
1540099810,1310720
1540099813,1310720
1540099816,1310720
1540099819,1310720
1540099822,1310720
1540099825,1310720
1540099828,1310720
1540099831,1310720
1540099834,1310720
1540099837,1310720
1540099840,1310720
1540099843,1310720
1540099846,1310720
1540099849,1310720
1540099852,1310720
1540099855,1310720
1540099858,1310720
1540099861,1310720
1540099864,1310720
1540099867,1310720
1540099870,1310720
1540099873,1310720
1540099876,1310720
1540099879,1310720
1540099882,1310720
1540099885,1310720
1540099888,1310720
1540099891,1310720
1540099894,1310720
1540099897,1310720
1540099900,1310720
1540099903,1310720
1540099906,1310720
1540099909,1310720
1540099912,1310720
1540099915,1310720
1540099918,1310720
1540099921,1310720
1540099924,1310720
1540099927,1310720
1540099930,1310720
1540099933,1310720
1540099936,1310720
1540099939,1310720
1540099942,1310720
t,value
1540099969,1272960
1540099972,1272960
1540099975,1272960
1540099978,1272960
1540099981,1272960
1540099984,1272960
1540099987,1272960
1540099990,1272960
1540099993,1272960
1540099996,1272960
1540099999,1272960
1540100002,1272960
1540100005,1272960
1540100008,1272960
1540100011,1272960
1540100014,1272960
1540100017,1272960
1540100020,1272960
1540100023,1272960
1540100026,1272960
1540100029,1304832
1540100032,1304832
1540100035,1304832
1540100038,1310208
1540100041,1304832
1540100044,1304832
1540100047,1304832
1540100050,1304832
1540100053,1304832
1540100056,1304832
1540100059,1304832
1540100062,1304832
1540100065,1304832
1540100068,1304832
1540100071,1304832
1540100074,1304832
1540100077,1304832
1540100080,1304832
1540100083,1304832
1540100086,1304832
1540100089,1304832
1540100092,1304832
1540100095,1304832
1540100098,1304832
1540100101,1304832
1540100104,1304832
1540100107,1304832
1540100110,1304832
1540100113,1304832
1540100116,1304832
1540100119,1304832
1540100122,1304832
1540100125,1304832
1540100128,1304832
1540100131,1304832
1540100134,1304832
1540100137,1304832
1540100140,1304832
1540100143,1304832
1540100146,1304832
1540100149,1304832
1540100152,1304832
1540100155,1304832
1540100158,1304832
1540100161,1304832
1540100164,1304832
1540100167,1304832
1540100170,1304832
1540100173,1304832
1540100176,1304832
1540100179,1304832
1540100182,1304832
1540100185,1304832
1540100188,1304832
1540100191,1304832
1540100194,1304832
1540100197,1304832
1540100200,1304832
1540100203,1304832
1540100206,1304832
1540100209,1304832
1540100212,1304832
1540100215,1304832
1540100218,1304832
1540100221,1304832
1540100224,1304832
1540100227,1304832
1540100230,1304832
1540100233,1304832
1540100236,1304832
1540100239,1304832
1540100242,1304832
1540100245,1304832
1540100248,1304832
1540100251,1304832
1540100254,1304832
1540100257,1304832
1540100260,1304832
1540100263,1304832
1540100266,1304832
1540100269,1304832
1540100272,1304832
1540100275,1304832
1540100278,1304832
1540100281,1304832
1540100284,1304832
1540100287,1304832
1540100290,1304832
1540100293,1304832
1540100296,1304832
1540100299,1304832
1540100302,1304832
1540100305,1304832
1540100308,1304832
1540100311,1304832
1540100314,1304832
1540100317,1304832
1540100320,1304832
1540100323,1304832
1540100326,1304832
1540100329,1304832
1540100332,1304832
1540100335,1304832
1540100338,1304832
1540100341,1304832
1540100344,1304832
1540100347,1304832
1540100350,1304832
1540100353,1304832
t,value
1540100368,1273344
1540100371,1273344
1540100374,1273344
1540100377,1273344
1540100380,1273344
1540100383,1273344
1540100386,1273344
1540100389,1273344
1540100392,1273344
1540100395,1273344
1540100398,1273344
1540100401,1273344
1540100404,1273344
1540100407,1273344
1540100410,1273344
1540100413,1273344
1540100416,1273344
1540100419,1273344
1540100422,1273344
1540100425,1273344
1540100428,1273344
1540100431,1273344
1540100434,1273344
1540100437,1273344
1540100440,1273344
1540100443,1273344
1540100446,1273344
1540100449,1289344
1540100452,1308032
1540100455,1308032
1540100458,1308032
1540100461,1308032
1540100464,1308032
1540100467,1308032
1540100470,1319552
1540100473,1308032
1540100476,1308032
1540100479,1308032
1540100482,1308032
1540100485,1308032
1540100488,1308032
1540100491,1308032
1540100494,1308032
1540100497,1308032
1540100500,1308032
1540100503,1308032
1540100506,1308032
1540100509,1308032
1540100512,1308032
1540100515,1308032
1540100518,1308032
1540100521,1308032
1540100524,1308032
1540100527,1308032
1540100530,1308032
1540100533,1308032
1540100536,1308032
1540100539,1308032
1540100542,1308032
1540100545,1308032
1540100548,1308032
1540100551,1308032
1540100554,1308032
1540100557,1308032
1540100560,1308032
1540100563,1308032
1540100566,1308032
1540100569,1308032
1540100572,1308032
1540100575,1308032
1540100578,1308032
1540100581,1308032
1540100584,1308032
1540100587,1308032
1540100590,1308032
1540100593,1308032
1540100596,1308032
1540100599,1308032
1540100602,1308032
1540100605,1308032
1540100608,1308032
1540100611,1308032
1540100614,1308032
1540100617,1308032
1540100620,1308032
1540100623,1308032
