t,value
1540099427,8944640
t,value
1540099472,5866240
1540099475,5886848
1540099478,5921664
1540099481,5972992
1540099484,6000384
1540099487,6026368
1540099490,6041088
1540099493,6059904
1540099496,6106752
1540099499,6108672
1540099502,6827648
1540099505,7735168
1540099508,7742848
1540099511,7767680
1540099514,7797632
1540099517,7806720
1540099520,7806720
1540099523,7808128
1540099526,7821440
1540099529,7864832
t,value
1540099543,5865728
1540099546,6107392
1540099549,7525248
1540099552,7573632
1540099555,7615360
1540099558,7633408
1540099561,7654016
1540099564,7668480
1540099567,7712896
1540099570,7714816
1540099573,7714816
1540099576,7718656
1540099579,7732992
1540099582,7771136
1540099585,8285696
1540099588,8296960
1540099591,8301440
1540099594,8301440
1540099597,8302976
1540099600,8304896
1540099603,8360192
1540099606,8389120
1540099609,8410496
1540099612,8751616
1540099615,8751616
1540099618,8782464
1540099621,8782464
1540099624,8797312
1540099627,8807168
1540099630,8807168
1540099633,8807168
1540099636,8838144
1540099639,8841216
1540099642,8844288
1540099645,8844288
1540099648,8848768
1540099651,8871680
1540099654,8879616
1540099657,8879616
1540099660,8879616
1540099663,8891392
1540099666,8891392
1540099669,8893056
1540099672,8893952
1540099675,8893952
1540099678,8901632
1540099681,8905472
1540099684,8928896
1540099687,8968576
1540099690,8874240
1540099693,8874240
1540099696,8878592
1540099699,8880384
1540099702,8885504
1540099705,8885504
1540099708,8886784
1540099711,8888576
1540099714,8888576
1540099717,8888576
1540099720,8890240
1540099723,8894464
1540099726,8894464
1540099729,8894464
1540099732,8897024
1540099735,8897024
1540099738,8897024
1540099741,9301248
1540099744,9301248
1540099747,9301248
1540099750,9301248
1540099753,9304704
1540099756,9304704
1540099759,9304704
1540099762,9323776
1540099765,9323776
1540099768,9326336
1540099771,9329792
1540099774,9329792
1540099777,9329792
1540099780,9331840
1540099783,9350528
1540099786,9350528
1540099789,9350528
1540099792,9352320
1540099795,9354752
1540099798,9357184
1540099801,9360512
1540099804,9360512
1540099807,9360512
1540099810,9305728
1540099813,9305728
1540099816,9307520
1540099819,9307520
1540099822,9310592
1540099825,9312640
1540099828,9312640
1540099831,9315200
1540099834,9315200
1540099837,9315200
1540099840,9328384
1540099843,9339392
1540099846,9339392
1540099849,9339392
1540099852,9339392
1540099855,9339392
1540099858,9339392
1540099861,9340928
1540099864,9178880
1540099867,9178880
1540099870,9178880
1540099873,9178880
1540099876,8560768
1540099879,8560768
1540099882,8560768
1540099885,8560768
1540099888,8560768
1540099891,8560768
1540099894,8560768
1540099897,8560768
1540099900,8560768
1540099903,8569472
1540099906,8569472
1540099909,8569472
1540099912,8569472
1540099915,8569472
1540099918,8336768
1540099921,8336768
1540099924,8362496
1540099927,8364032
1540099930,8364032
1540099933,8364032
1540099936,8364032
1540099939,8365056
1540099942,8366080
t,value
1540099969,5874048
1540099972,5919744
1540099975,5955584
1540099978,6020736
1540099981,6055424
1540099984,6078720
1540099987,6091264
1540099990,6104192
1540099993,6151168
1540099996,6154496
1540099999,6154496
1540100002,6158720
1540100005,6170752
1540100008,6206720
1540100011,6241920
1540100014,6253312
1540100017,6259072
1540100020,6260480
1540100023,6262144
1540100026,6268416
1540100029,8022016
1540100032,8049408
1540100035,8066944
1540100038,8114944
1540100041,8118144
1540100044,8118144
1540100047,8126976
1540100050,8128128
1540100053,8132864
1540100056,8132864
1540100059,8132864
1540100062,8148096
1540100065,8151168
1540100068,8154112
1540100071,8154112
1540100074,8158592
1540100077,8194560
1540100080,8202496
1540100083,8202496
1540100086,8202496
1540100089,8217600
1540100092,8217600
1540100095,8219264
1540100098,8219264
1540100101,8219264
1540100104,8226944
1540100107,8230016
1540100110,8254336
1540100113,8284160
1540100116,8301312
1540100119,8305152
1540100122,8311296
1540100125,8311296
1540100128,8315904
1540100131,8315904
1540100134,8316800
1540100137,8316800
1540100140,8316800
1540100143,8316800
1540100146,8318464
1540100149,8324224
1540100152,8324224
1540100155,8324224
1540100158,8324224
1540100161,8324224
1540100164,8324224
1540100167,8329600
1540100170,8329600
1540100173,8329600
1540100176,8329600
1540100179,8333056
1540100182,8333056
1540100185,8333056
1540100188,8350336
1540100191,8350336
1540100194,8350336
1540100197,8353792
1540100200,8353792
1540100203,8353792
1540100206,8353792
1540100209,8373888
1540100212,8373888
1540100215,8373888
1540100218,8375680
1540100221,8378112
1540100224,8384896
1540100227,8384896
1540100230,8384896
1540100233,8384896
1540100236,8387200
