t,value
1540099427,8198712
t,value
1540099472,4527256
1540099475,4527256
1540099478,4527256
1540099481,4527848
1540099484,4527848
1540099487,4527848
1540099490,4527848
1540099493,4527848
1540099496,4527848
1540099499,4527848
1540099502,5530512
1540099505,7242200
1540099508,7242200
1540099511,7242200
1540099514,7242200
1540099517,7242200
1540099520,7242200
1540099523,7242200
1540099526,7242200
1540099529,7284656
t,value
1540099543,4491184
1540099546,5111936
1540099549,7207264
1540099552,7207856
1540099555,7207856
1540099558,7207856
1540099561,7207856
1540099564,7207856
1540099567,7207856
1540099570,7207856
1540099573,7207856
1540099576,7207856
1540099579,7207856
1540099582,7207856
1540099585,7662840
1540099588,7662840
1540099591,7662840
1540099594,7662840
1540099597,7662840
1540099600,7662840
1540099603,7662840
1540099606,7662840
1540099609,7662840
1540099612,7665200
1540099615,7665200
1540099618,7666656
1540099621,7666656
1540099624,7666656
1540099627,7666656
1540099630,7666656
1540099633,7666656
1540099636,7666656
1540099639,7666656
1540099642,7666656
1540099645,7666656
1540099648,7666656
1540099651,7666656
1540099654,7666656
1540099657,7666656
1540099660,7666656
1540099663,7666656
1540099666,7666656
1540099669,7666656
1540099672,7666656
1540099675,7666656
1540099678,7666656
1540099681,7666656
1540099684,7666656
1540099687,7666656
1540099690,7666656
1540099693,7666656
1540099696,7666656
1540099699,7666656
1540099702,7666656
1540099705,7666656
1540099708,7666656
1540099711,7666656
1540099714,7666656
1540099717,7666656
1540099720,7666656
1540099723,7666656
1540099726,7666656
1540099729,7666656
1540099732,7666656
1540099735,7666656
1540099738,7666656
1540099741,7670232
1540099744,7670232
1540099747,7670232
1540099750,7670232
1540099753,7670232
1540099756,7670232
1540099759,7670232
1540099762,7670232
1540099765,7670232
1540099768,7670232
1540099771,7670232
1540099774,7670232
1540099777,7670232
1540099780,7670232
1540099783,7670232
1540099786,7670232
1540099789,7670232
1540099792,7670232
1540099795,7670232
1540099798,7670232
1540099801,7670232
1540099804,7670232
1540099807,7670232
1540099810,7670232
1540099813,7670232
1540099816,7670232
1540099819,7670232
1540099822,7670232
1540099825,7670232
1540099828,7670232
1540099831,7670232
1540099834,7670232
1540099837,7670232
1540099840,7670232
1540099843,7670232
1540099846,7670232
1540099849,7670232
1540099852,7670232
1540099855,7670232
1540099858,7670232
1540099861,7670232
1540099864,7670232
1540099867,7670232
1540099870,7670232
1540099873,7670232
1540099876,7670232
1540099879,7670232
1540099882,7670232
1540099885,7670232
1540099888,7670232
1540099891,7670232
1540099894,7670232
1540099897,7670232
1540099900,7670232
1540099903,7670232
1540099906,7670232
1540099909,7670232
1540099912,7670232
1540099915,7670232
1540099918,7670232
1540099921,7670232
1540099924,7670232
1540099927,7670232
1540099930,7670232
1540099933,7670232
1540099936,7670232
1540099939,7670232
1540099942,7670232
t,value
1540099969,4487832
1540099972,4487832
1540099975,4487832
1540099978,4488424
1540099981,4488424
1540099984,4488424
1540099987,4488424
1540099990,4488424
1540099993,4488424
1540099996,4488424
1540099999,4488424
1540100002,4488424
1540100005,4488424
1540100008,4488424
1540100011,4488424
1540100014,4488424
1540100017,4488424
1540100020,4488424
1540100023,4488424
1540100026,4488424
1540100029,7633080
1540100032,7633080
1540100035,7633080
1540100038,7633080
1540100041,7633080
1540100044,7633080
1540100047,7633080
1540100050,7633080
1540100053,7633080
1540100056,7633080
1540100059,7633080
1540100062,7633080
1540100065,7633080
1540100068,7633080
1540100071,7633080
1540100074,7633080
1540100077,7633080
1540100080,7633080
1540100083,7633080
1540100086,7633080
1540100089,7633080
1540100092,7633080
1540100095,7633080
1540100098,7633080
1540100101,7633080
1540100104,7633080
1540100107,7633080
1540100110,7633080
1540100113,7633080
1540100116,7633080
1540100119,7633080
1540100122,7633080
1540100125,7633080
1540100128,7633080
1540100131,7633080
1540100134,7633080
1540100137,7633080
1540100140,7633080
1540100143,7633080
1540100146,7633080
1540100149,7633080
1540100152,7633080
1540100155,7633080
1540100158,7633080
1540100161,7633080
1540100164,7633080
1540100167,7633080
1540100170,7633080
1540100173,7633080
1540100176,7633080
1540100179,7633080
1540100182,7633080
1540100185,7633080
1540100188,7633080
1540100191,7633080
1540100194,7633080
1540100197,7633080
1540100200,7633080
1540100203,7633080
1540100206,7633080
1540100209,7633080
1540100212,7633080
1540100215,7633080
1540100218,7633080
1540100221,7633080
1540100224,7633080
1540100227,7633080
1540100230,7633080
1540100233,7633080
1540100236,7633080
1540100239,7633080
1540100242,7633080
1540100245,7633080
1540100248,7633080
1540100251,7633080
1540100254,7633080
1540100257,7633080
1540100260,7633080
1540100263,7633080
1540100266,7633080
1540100269,7633080
1540100272,7633080
1540100275,7633080
1540100278,7633080
1540100281,7633080
1540100284,7633080
1540100287,7633080
1540100290,7633080
1540100293,7633080
1540100296,7633080
1540100299,7633080
1540100302,7633080
1540100305,7633080
1540100308,7633080
1540100311,7633080
1540100314,7633080
1540100317,7633080
1540100320,7633080
1540100323,7633080
1540100326,7633080
1540100329,7633080
1540100332,7633080
1540100335,7633080
1540100338,7633080
1540100341,7633080
1540100344,7633080
1540100347,7633080
1540100350,7633080
1540100353,7633080
t,value
1540100368,4490952
1540100371,4490952
1540100374,4490952
1540100377,4491544
1540100380,4491544
1540100383,4491544
1540100386,4491544
1540100389,4491544
1540100392,4491544
1540100395,4491544
1540100398,4491544
1540100401,4491544
1540100404,4491544
1540100407,4491544
1540100410,4491544
1540100413,4491544
1540100416,4491544
1540100419,4491544
1540100422,4491544
1540100425,4491544
1540100428,4491544
1540100431,4491544
1540100434,4491544
1540100437,4491544
1540100440,4491544
1540100443,4491544
1540100446,4491544
1540100449,6950512
1540100452,7654624
1540100455,7654624
1540100458,7654624
1540100461,7654624
1540100464,7654624
1540100467,7654624
1540100470,7654624
1540100473,7654624
1540100476,7654624
1540100479,7654624
1540100482,7654624
1540100485,7654624
1540100488,7654624
1540100491,7654624
1540100494,7654624
1540100497,7654624
1540100500,7654624
1540100503,7654624
1540100506,7654624
1540100509,7654624
1540100512,7654624
1540100515,7654624
1540100518,7654624
1540100521,7654624
1540100524,7654624
1540100527,7654624
1540100530,7654624
1540100533,7654624
1540100536,7654624
1540100539,7654624
1540100542,7654624
1540100545,7654624
1540100548,7654624
1540100551,7654624
1540100554,7654624
1540100557,7654624
1540100560,7654624
1540100563,7654624
1540100566,7654624
1540100569,7654624
1540100572,7654624
1540100575,7654624
1540100578,7654624
1540100581,7654624
1540100584,7654624
1540100587,7654624
1540100590,7654624
1540100593,7654624
1540100596,7654624
1540100599,7654624
1540100602,7654624
1540100605,7654624
1540100608,7654624
1540100611,7654624
1540100614,7654624
1540100617,7654624
1540100620,7654624
1540100623,7654624
