t,value
1540602099,13078728
1540602113,23861400
1540602121,2423632
1540602136,6391216
1540602140,6642944
1540602142,6920784
1540602143,7166400
1540602145,9049376
t,value
1540602283,2886008
1540602286,3589880
1540602289,3936912
1540602292,4171024
1540602295,4405480
1540602298,2754664
1540602301,8800072
1540602306,5191512
1540602312,4290512
1540602316,4549784
1540602317,4842304
1540602319,5087264
1540602320,5334352
1540602322,5581640
1540602325,5826888
1540602328,6076656
1540602332,6326312
1540602334,6576120
1540602337,6897984
1540602341,7147192
1540602343,7393384
1540602346,7926416
1540602349,8244752
1540602352,8490856
1540602355,8742776
1540602358,8988936
1540602361,5715240
1540602364,5959896
1540602367,6212224
1540602370,6461160
1540602373,6705768
1540602377,6952776
1540602379,7199480
1540602382,7444248
1540602385,7690856
1540602388,7935416
1540602392,12214552
1540602394,12467816
1540602397,12716936
1540602400,12965904
1540602403,13208480
1540602406,13722488
1540602410,13971192
1540602412,14213608
1540602416,52832
1540602418,316280
1540602421,572240
1540602424,832304
1540602427,1043640
1540602430,1303880
1540602433,1563792
1540602436,1773016
1540602439,2033232
1540602442,2291208
1540602445,2502400
1540602448,2766824
1540602451,3028888
1540602454,3233944
1540602457,3495992
1540602460,3756040
1540602463,3967480
1540602466,4464168
1540602469,4740160
1540602472,4949320
1540602475,5211400
1540602478,5467224
1540602481,5684704
1540602485,5944920
1540602487,6207376
1540602491,6412624
1540602493,6672648
1540602496,6882112
1540602499,7142024
1540602502,7402008
1540602505,7609344
1540602508,7871376
1540602511,8131392
