t,value
1540099427,59263368
t,value
1540099472,14419288
1540099475,14419288
1540099478,14419288
1540099481,14419288
1540099484,14419288
1540099487,14419288
1540099490,14419288
1540099493,14419288
1540099496,14419288
1540099499,14419288
1540099502,14805504
1540099505,22962632
1540099508,22962632
1540099511,22962632
1540099514,22962632
1540099517,22962632
1540099520,22962632
1540099523,22962632
1540099526,22962632
1540099529,22962632
t,value
1540099543,23042048
1540099546,22293280
1540099549,22166912
1540099552,22166912
1540099555,22166912
1540099558,22166912
1540099561,22166912
1540099564,22166912
1540099567,22166912
1540099570,22166912
1540099573,22166912
1540099576,22166912
1540099579,22166912
1540099582,22166912
1540099585,22166912
1540099588,22166912
1540099591,22166912
1540099594,22166912
1540099597,22166912
1540099600,22166912
1540099603,22166912
1540099606,22166912
1540099609,22166912
1540099612,22166912
1540099615,22166912
1540099618,22166912
1540099621,22166912
1540099624,22166912
1540099627,22166912
1540099630,22166912
1540099633,22166912
1540099636,22166912
1540099639,22166912
1540099642,22166912
1540099645,22166912
1540099648,22166912
1540099651,22166912
1540099654,22166912
1540099657,22166912
1540099660,22166912
1540099663,22166912
1540099666,22166912
1540099669,22166912
1540099672,22166912
1540099675,22166912
1540099678,22166912
1540099681,22166912
1540099684,22166912
1540099687,22166912
1540099690,22166912
1540099693,22166912
1540099696,22166912
1540099699,22166912
1540099702,22166912
1540099705,22166912
1540099708,22166912
1540099711,22166912
1540099714,22166912
1540099717,22166912
1540099720,22166912
1540099723,22166912
1540099726,22166912
1540099729,22166912
1540099732,22166912
1540099735,22166912
1540099738,22166912
1540099741,22166912
1540099744,22166912
1540099747,22166912
1540099750,22166912
1540099753,22166912
1540099756,22166912
1540099759,22166912
1540099762,22166912
1540099765,22166912
1540099768,22166912
1540099771,22166912
1540099774,22166912
1540099777,22166912
1540099780,22166912
1540099783,22166912
1540099786,22166912
1540099789,22166912
1540099792,22166912
1540099795,22166912
1540099798,22166912
1540099801,22166912
1540099804,22166912
1540099807,22166912
1540099810,22166912
1540099813,22166912
1540099816,22166912
1540099819,22166912
1540099822,22166912
1540099825,22166912
1540099828,22166912
1540099831,22166912
1540099834,22166912
1540099837,22166912
1540099840,22166912
1540099843,22166912
1540099846,22166912
1540099849,22166912
1540099852,22166912
