t,value
1540099427,11534336
t,value
1540099472,8388608
1540099475,8388608
1540099478,8388608
1540099481,8388608
1540099484,8388608
1540099487,8388608
1540099490,8388608
1540099493,8388608
1540099496,8388608
1540099499,8388608
1540099502,12582912
1540099505,13631488
1540099508,13631488
1540099511,13631488
1540099514,13631488
1540099517,13631488
1540099520,13631488
1540099523,13631488
1540099526,13631488
1540099529,13631488
t,value
1540099543,3145728
1540099546,5242880
1540099549,9437184
1540099552,9437184
1540099555,9437184
1540099558,9437184
1540099561,9437184
1540099564,9437184
1540099567,9437184
1540099570,9437184
1540099573,9437184
1540099576,9437184
1540099579,9437184
1540099582,9437184
1540099585,9437184
1540099588,9437184
1540099591,9437184
1540099594,9437184
1540099597,9437184
1540099600,9437184
1540099603,9437184
1540099606,9437184
1540099609,9437184
1540099612,9437184
1540099615,9437184
1540099618,9437184
1540099621,9437184
1540099624,9437184
1540099627,9437184
1540099630,9437184
1540099633,9437184
1540099636,9437184
1540099639,9437184
1540099642,9437184
1540099645,9437184
1540099648,9437184
1540099651,9437184
1540099654,9437184
1540099657,9437184
1540099660,9437184
1540099663,9437184
1540099666,9437184
1540099669,9437184
1540099672,9437184
1540099675,9437184
1540099678,9437184
1540099681,9437184
1540099684,9437184
1540099687,9437184
1540099690,9437184
1540099693,9437184
1540099696,9437184
1540099699,9437184
1540099702,9437184
1540099705,9437184
1540099708,9437184
1540099711,9437184
1540099714,9437184
1540099717,9437184
1540099720,9437184
1540099723,9437184
1540099726,9437184
1540099729,9437184
1540099732,9437184
1540099735,9437184
1540099738,9437184
1540099741,9437184
1540099744,9437184
1540099747,9437184
1540099750,9437184
1540099753,9437184
1540099756,9437184
1540099759,9437184
1540099762,9437184
1540099765,9437184
1540099768,9437184
1540099771,9437184
1540099774,9437184
1540099777,9437184
1540099780,9437184
1540099783,9437184
1540099786,9437184
1540099789,9437184
1540099792,9437184
1540099795,9437184
1540099798,9437184
1540099801,9437184
1540099804,9437184
1540099807,9437184
1540099810,9437184
1540099813,9437184
1540099816,9437184
1540099819,9437184
1540099822,9437184
1540099825,9437184
1540099828,9437184
1540099831,9437184
1540099834,9437184
1540099837,9437184
1540099840,9437184
1540099843,9437184
1540099846,9437184
1540099849,9437184
1540099852,9437184
1540099855,9437184
1540099858,9437184
1540099861,9437184
1540099864,9437184
1540099867,9437184
1540099870,9437184
1540099873,9437184
