t,value
1540602099,42934912
1540602113,47800616
1540602121,54714008
1540602136,54960192
1540602140,54976072
1540602142,54983488
1540602143,54986240
1540602145,55033040
t,value
1540602283,29554976
1540602286,29604624
1540602289,29609944
1540602292,29618008
1540602295,29624488
1540602298,33207696
1540602301,35691392
1540602306,42445944
1540602312,45863352
1540602316,45863640
1540602317,45863640
1540602319,45864032
1540602320,45864032
1540602322,45866888
1540602325,45894104
1540602328,45897104
1540602332,45897104
1540602334,45897104
1540602337,45898376
1540602341,45902392
1540602343,45902392
1540602346,45914088
1540602349,45925928
1540602352,45925928
1540602355,45925928
1540602358,45925928
1540602361,47429016
1540602364,47429016
1540602367,47429016
1540602370,47432624
1540602373,47434432
1540602377,47434432
1540602379,47434432
1540602382,47435264
1540602385,47436072
1540602388,47437584
1540602392,47596816
1540602394,47596816
1540602397,47596816
1540602400,47596816
1540602403,47596816
1540602406,47600544
1540602410,47604792
1540602412,47604792
1540602416,47605080
1540602418,47605080
1540602421,47615024
1540602424,47621624
1540602427,47624768
1540602430,47624768
1540602433,47624768
1540602436,47626208
1540602439,47626208
1540602442,47627168
1540602445,47628016
1540602448,47628016
1540602451,47628016
1540602454,47628016
1540602457,47628720
1540602460,47629064
1540602463,47629064
1540602466,47635264
1540602469,47635264
1540602472,47635264
1540602475,47635264
1540602478,47635264
1540602481,47635264
1540602485,47635264
1540602487,47635608
1540602491,47635608
1540602493,47635944
1540602496,47637528
1540602499,47637824
1540602502,47637824
1540602505,47637824
1540602508,47637824
1540602511,47638512
