t,value
1540602099,1491936
1540602113,0
1540602121,3322960
1540602136,3322960
1540602140,3322960
1540602142,3322960
1540602143,3322960
1540602145,3322960
t,value
1540602283,795016
1540602286,795016
1540602289,795016
1540602292,795016
1540602295,795016
1540602298,796912
1540602301,1758584
1540602306,1349160
1540602312,1062680
1540602316,1062680
1540602317,1062680
1540602319,1062680
1540602320,1062680
1540602322,1062680
1540602325,1062680
1540602328,1062680
1540602332,1062680
1540602334,1062680
1540602337,1062680
1540602341,1062680
1540602343,1062680
1540602346,1062680
1540602349,1062680
1540602352,1062680
1540602355,1062680
1540602358,1062680
1540602361,1088216
1540602364,1088216
1540602367,1088216
1540602370,1088216
1540602373,1088216
1540602377,1088216
1540602379,1088216
1540602382,1088216
1540602385,1088216
1540602388,1088216
1540602392,1088216
1540602394,1088216
1540602397,1088216
1540602400,1088216
1540602403,1088216
1540602406,1088216
1540602410,1088216
1540602412,1088216
1540602416,359216
1540602418,359216
1540602421,359216
1540602424,359216
1540602427,359216
1540602430,359216
1540602433,359216
1540602436,359216
1540602439,359216
1540602442,359216
1540602445,359216
1540602448,359216
1540602451,359216
1540602454,359216
1540602457,359216
1540602460,359216
1540602463,359216
1540602466,359216
1540602469,359216
1540602472,359216
1540602475,359216
1540602478,359216
1540602481,359216
1540602485,359216
1540602487,359216
1540602491,359216
1540602493,359216
1540602496,359216
1540602499,359216
1540602502,359216
1540602505,359216
1540602508,359216
1540602511,359216
