t,value
1540602099,25951200
1540602113,44281456
1540602121,62154536
1540602136,62154536
1540602140,62154536
1540602142,62154536
1540602143,62154536
1540602145,62154536
t,value
1540602283,17270888
1540602286,17270888
1540602289,17270888
1540602292,17270888
1540602295,17270888
1540602298,18575536
1540602301,23409160
1540602306,26106136
1540602312,26442120
1540602316,26442120
1540602317,26442120
1540602319,26442120
1540602320,26442120
1540602322,26442120
1540602325,26442120
1540602328,26442120
1540602332,26442120
1540602334,26442120
1540602337,26442120
1540602341,26442120
1540602343,26442120
1540602346,26442120
1540602349,26442120
1540602352,26442120
1540602355,26442120
1540602358,26442120
1540602361,26570184
1540602364,26570184
1540602367,26570184
1540602370,26570184
1540602373,26570184
1540602377,26570184
1540602379,26570184
1540602382,26570184
1540602385,26570184
1540602388,26570184
1540602392,26570184
1540602394,26570184
1540602397,26570184
1540602400,26570184
1540602403,26570184
1540602406,26570184
1540602410,26570184
1540602412,26570184
1540602416,26795208
1540602418,26795208
1540602421,26795208
1540602424,26795208
1540602427,26795208
1540602430,26795208
1540602433,26795208
1540602436,26795208
1540602439,26795208
1540602442,26795208
1540602445,26795208
1540602448,26795208
1540602451,26795208
1540602454,26795208
1540602457,26795208
1540602460,26795208
1540602463,26795208
1540602466,26795208
1540602469,26795208
1540602472,26795208
1540602475,26795208
1540602478,26795208
1540602481,26795208
1540602485,26795208
1540602487,26795208
1540602491,26795208
1540602493,26795208
1540602496,26795208
1540602499,26795208
1540602502,26795208
1540602505,26795208
1540602508,26795208
1540602511,26795208
