t,value
1540602099,21
1540602113,23
1540602121,23
1540602136,22
1540602140,22
1540602142,22
1540602143,22
1540602145,16
t,value
1540602283,18
1540602286,18
1540602289,19
1540602292,19
1540602295,19
1540602298,20
1540602301,19
1540602306,19
1540602312,20
1540602316,19
1540602317,19
1540602319,19
1540602320,19
1540602322,19
1540602325,19
1540602328,19
1540602332,19
1540602334,19
1540602337,18
1540602341,18
1540602343,18
1540602346,18
1540602349,18
1540602352,18
1540602355,18
1540602358,18
1540602361,19
1540602364,18
1540602367,18
1540602370,18
1540602373,18
1540602377,18
1540602379,18
1540602382,18
1540602385,18
1540602388,18
1540602392,19
1540602394,18
1540602397,18
1540602400,18
1540602403,18
1540602406,18
1540602410,18
1540602412,18
1540602416,18
1540602418,18
1540602421,18
1540602424,18
1540602427,18
1540602430,18
1540602433,18
1540602436,18
1540602439,18
1540602442,18
1540602445,18
1540602448,18
1540602451,18
1540602454,18
1540602457,18
1540602460,18
1540602463,18
1540602466,18
1540602469,18
1540602472,18
1540602475,18
1540602478,18
1540602481,18
1540602485,18
1540602487,18
1540602491,18
1540602493,18
1540602496,18
1540602499,18
1540602502,18
1540602505,18
1540602508,18
1540602511,18
