t,value
1540602099,25
1540602113,27
1540602121,27
1540602136,26
1540602140,26
1540602142,26
1540602143,26
1540602145,20
t,value
1540602283,22
1540602286,22
1540602289,23
1540602292,23
1540602295,23
1540602298,24
1540602301,23
1540602306,23
1540602312,23
1540602316,23
1540602317,23
1540602319,23
1540602320,23
1540602322,23
1540602325,23
1540602328,23
1540602332,23
1540602334,23
1540602337,22
1540602341,22
1540602343,22
1540602346,22
1540602349,22
1540602352,22
1540602355,22
1540602358,22
1540602361,23
1540602364,22
1540602367,22
1540602370,22
1540602373,22
1540602377,22
1540602379,22
1540602382,22
1540602385,22
1540602388,22
1540602392,23
1540602394,22
1540602397,22
1540602400,22
1540602403,22
1540602406,22
1540602410,22
1540602412,22
1540602416,22
1540602418,22
1540602421,22
1540602424,22
1540602427,22
1540602430,22
1540602433,22
1540602436,22
1540602439,22
1540602442,22
1540602445,22
1540602448,22
1540602451,22
1540602454,22
1540602457,22
1540602460,22
1540602463,22
1540602466,22
1540602469,22
1540602472,22
1540602475,22
1540602478,22
1540602481,22
1540602485,22
1540602487,22
1540602491,22
1540602493,22
1540602496,22
1540602499,22
1540602502,22
1540602505,22
1540602508,22
1540602511,22
